,Day_x,Body_size_in_mm2,log body size,Day_y,cell number,log cell number,Day,median,log cell size
S_2d_4,2,7.211632296,1.975695319016332,2,8678333.333333334,15.976340055911027,2,53760,10.89228497519703
S_2d_5,2,6.358381425,1.8497738520386828,2,4461748.633879781,15.311051317533373,2,48384,10.786924459539204
S_2d_6,2,13.103918039,2.572911272436086,2,15032835.820895523,16.525747421303446,2,55104,10.916977587787402
S_2d_7,2,3.056955335,1.1174194320724864,2,6955555.555555556,15.755051258734108,2,49024,10.800065253100263
S_2d_8,2,5.464640405,1.6982983198295762,2,1559154.9295774647,14.25965452063755,2,44096,10.694124354373331
S_2d_9,2,6.658028934,1.8958234848928648,2,2254032.258064516,14.62823128495439,2,67968,11.126792285161557
S_2d_10,2,5.253112518,1.6588207615025619,2,1656692.9133858266,14.320333952369237,2,62656,11.045414725890183
S_2d_11,2,7.220301471,1.9768967070191692,2,3160406.0913705584,14.966211087233793,2,64896,11.0805412675108
S_2d_12,2,6.861193617,1.925881423249363,2,2260738.2550335573,14.631201979425484,2,52224,10.863297438323778
S_2d_13,2,2.945887896,1.0804102643632496,2,1751008.6455331412,14.375702548739033,2,50752,10.83470630499452
S_2d_14,2,5.506456429,1.7059212999428686,2,1708554.5722713864,14.35115829165533,2,61696,11.029974377970218
S_2d_15,2,3.60811093,1.2831843472931523,2,2028828.8288288289,14.522969252917475,2,50752,10.83470630499452
S_2d_16,2,7.668140889,2.037074198645278,2,3272868.217054263,15.001177289016821,2,64768,11.078566933207084
S_2d_17,2,4.138562493,1.4203485036279988,2,2183414.6341463416,14.596400555263637,2,59008,10.985428306916265
S_2d_18,2,10.038599499,2.306437612402177,2,2871851.8518518517,14.870467624202728,2,60096,11.003698562567935
S_2d_19,2,7.553095828,2.021957522659803,2,3350781.25,15.024704085567492,2,62400,11.041320554357519
S_2d_20,2,5.74623563,1.7485449673738076,2,1526694.9152542374,14.23861577069271,2,74496,11.218500711651055
S_2d_21,2,5.638635861,1.729642167638015,2,2246192.893401015,14.62474729367427,2,62592,11.044392753394488
S_2d_22,2,6.866191141,1.9266095334187634,2,4079687.5,15.221530950309685,2,58240,10.972327682870567
S_2d_23,2,10.790370018,2.3786540713604687,2,4385849.0566037735,15.293893792548745,2,56960,10.950104546085857
S_2d_24,2,7.103930536,1.9606482274889094,2,3319230.7692307695,15.015243618032175,2,62208,11.03823888782011
S_5d_1,5,2.901420124,1.0652003150605605,5,630238.726790451,13.353853958004754,5,51968,10.85838342352135
S_5d_2,5,2.844101574,1.0452472264930956,5,856901.4084507042,13.66107814831405,5,49920,10.81817700304331
S_5d_3,5,3.51030223,1.2557021391840215,5,1506153.8461538462,14.225069837605101,5,52928,10.876687778383364
S_5d_4,5,5.264943393,1.6610703939611888,5,1774371.8592964825,14.388957036174123,5,55296,10.920455852163727
S_5d_5,5,6.700252919,1.9021452747889185,5,1475213.6752136752,14.204313401815845,5,51008,10.839737762149888
S_5d_6,5,5.076669295,1.624655395966995,5,1752884.6153846153,14.376773340507519,5,53632,10.889901183841754
S_5d_7,5,3.809031825,1.3373750426729039,5,1649773.7556561085,14.316148718691084,5,53504,10.887511696444374
S_5d_8,5,2.640222959,0.9708633677588391,5,1539512.1951219512,14.246976167797586,5,47744,10.773608683563433
S_5d_9,5,3.898579311,1.360612207539035,5,2129787.234042553,14.57153264257539,5,51776,10.854682000418164
S_5d_10,5,8.891922529,2.18514328362585,5,3577049.1803278686,15.090048767189932,5,51712,10.853445141880767
S_5d_11,5,5.469841911,1.6992497149193528,5,1965680.473372781,14.491349040220395,5,51968,10.85838342352135
S_5d_12,5,6.444461241,1.8632210395688724,5,1818181.8181818184,14.413347558719895,5,55232,10.9192977744431
S_5d_13,5,4.241062747,1.4448138857142936,5,703498.5422740525,13.46382108342932,5,55552,10.925074798020022
S_5d_14,5,4.347744603,1.4696572285733212,5,1961627.906976744,14.48928525126269,5,52864,10.87547785688065
S_5d_15,5,5.73940228,1.7473550725051388,5,1796190.4761904762,14.401178578006109,5,53120,10.880308784150316
S_5d_16,5,5.129296291,1.6349684745296293,5,1452830.1886792453,14.189024066265835,5,41984,10.645043872303761
S_5d_17,5,7.862840377,2.0621479122818913,5,1852229.2993630571,14.431900498275331,5,54080,10.898219710716846
S_5d_18,5,4.786506884,1.5658008936148735,5,392760.1809954751,12.880954478112825,5,45312,10.721327177053391
S_5d_19,5,4.846885143,1.5783362600691648,5,564179.104477612,13.24312704119885,5,47808,10.774948268492489
S_5d_20,5,6.929629109,1.935806292144766,5,708724.8322147651,13.471222623290975,5,57536,10.960166117831292
S_5d_21,5,5.821912435,1.761628804846188,5,612547.5285171103,13.325381815969438,5,54528,10.906469610188987
S_5d_22,5,5.117261435,1.6326194199776702,5,531455.3990610329,13.183374558023932,5,54272,10.901763719151575
S_5d_23,5,4.91001714,1.5912774326353667,5,814484.6796657381,13.610310897351619,5,51712,10.853445141880767
S_5d_24,5,3.995062137,1.3850591327893957,5,946984.9246231157,13.761038452952926,5,47872,10.77628606133415
S_12d_1,12,7.440600525,2.006951561313468,12,1055786.350148368,13.869796402843647,12,28544,10.259202035379737
S_12d_2,12,5.137557505,1.6365777729470576,12,501529.6367112811,13.125417980772179,12,25664,10.152844510666242
S_12d_3,12,5.201709405,1.648987303297714,12,1261977.186311787,14.048190244512439,12,49152,10.802672816507345
S_12d_4,12,4.275127508,1.4528139283766728,12,552112.676056338,13.221507427719375,12,27584,10.224991173463419
S_12d_5,12,8.153410749,2.0984363365172216,12,1189968.6520376175,13.989437521915203,12,35072,10.465158370307687
S_12d_6,12,2.872862839,1.0553090374721847,12,685846.86774942,13.438409656934573,12,41088,10.623471387049634
S_12d_7,12,4.241368718,1.4448860280007112,12,642796.6101694915,13.37358363929315,12,39808,10.59182317609885
S_12d_8,12,4.068699136,1.4033233257598898,12,771867.0076726343,13.556567544312657,12,45184,10.718498320852914
S_12d_9,12,4.125099773,1.4170902068880733,12,189918.8876013905,12.15435235263063,12,26304,10.177476297855906
S_12d_10,12,2.826049291,1.0388797260776714,12,362374.8211731044,12.800434372738094,12,28096,10.243382496434844
S_12d_11,12,3.588630782,1.2777707319779712,12,283600.0,12.55532007364011,12,28288,10.25019296543737
S_12d_12,12,7.376448624,1.9982923065305156,12,263918.91891891893,12.483397209648691,12,24384,10.101682458486373
S_12d_13,12,3.005960184,1.1005970457340781,12,155092.59259259258,11.95177758911113,12,29632,10.296610137445906
S_12d_14,12,3.524682862,1.259790463989898,12,181392.69406392696,12.108419540570553,12,30080,10.311615778063777
S_12d_15,12,2.94721377,1.0808602392992062,12,268442.62295081967,12.500392475312278,12,32000,10.373491181781864
S_12d_16,12,5.555513765,1.714790905763634,12,2817554.858934169,14.851379995490603,12,57216,10.954588858533185
S_12d_17,12,7.800524302,2.054190949641632,12,2734946.2365591396,14.821622336079793,12,45376,10.722738609891799
S_12d_18,12,3.810867651,1.337856893133347,12,2458227.8481012657,14.714951261354477,12,42560,10.658670124015526
S_12d_19,12,6.082905619,1.8054824796831033,12,2611864.406779661,14.775574856384624,12,46080,10.738134295369774
S_12d_20,12,4.135910745,1.4197075569442623,12,2999107.1428571427,14.913825183287427,12,52352,10.865745419962419
S_12d_21,12,3.893989747,1.3594342739213745,12,849840.2555910543,13.65280367620582,12,50752,10.83470630499452
S_12d_22,12,3.340386386,1.206086484728819,12,904651.1627906977,13.715304692895112,12,45760,10.731165626053679
S_12d_23,12,3.356602844,1.210929404177527,12,995547.9452054794,13.811048563260822,12,46016,10.736744441080718
S_12d_24,12,5.338580391,1.6749597732471992,12,1079096.0451977402,13.891634253437076,12,47232,10.762826907960145
S_21d_1,21,2.116400766,0.749716893983136,21,443486.9739478958,13.00242370926976,21,30912,10.338899737012245
S_21d_2,21,3.162413308,1.151335441187791,21,980902.7777777779,13.796228628414823,21,57984,10.967922389402652
S_21d_5,21,1.96270138,0.6743217794227075,21,659276.0180995475,13.39889756964768,21,55360,10.92161259029155
S_21d_6,21,2.527115714,0.9270786184142675,21,821367.5213675213,13.618725939142765,21,39232,10.577248019295883
S_21d_7,21,4.533366953,1.5114649201493386,21,1464086.0215053763,14.196741729636082,21,53760,10.89228497519703
S_21d_8,21,3.419020909,1.2293542261693213,21,1038636.3636363636,13.853419221946172,21,58176,10.971228177537151
S_21d_9,21,2.966591927,1.0874137946065645,21,215563.29849012775,12.281009873888644,21,27136,10.20861653859163
S_21d_10,21,4.328570426,1.4652373318428216,21,270030.1204819277,12.506288789098928,21,26944,10.201515917042054
S_21d_11,21,2.63706126,0.9696651380455702,21,332289.95057660626,12.713763211864942,21,29056,10.27698028140102
S_21d_12,21,3.87471358,1.3544717452347643,21,186962.75071633238,12.13866468196465,21,24640,10.112126417647456
S_21d_13,21,4.66707624,1.5405328028102496,21,949242.4242424242,13.763419497279926,21,56064,10.934249174296063
S_21d_14,21,4.144681911,1.4218260452324296,21,373960.21699819167,12.831904699076214,21,28480,10.256957365525912
S_21d_15,21,2.598508926,0.9549377905191474,21,195950.92024539877,12.185619499944378,21,26240,10.175040243058024
S_21d_16,21,2.253475733,0.812473794508379,21,532448.3775811209,13.185241228356759,21,30272,10.317978471851605
S_21d_17,21,3.80393231,1.336035350097902,21,52056.074766355145,10.860076777441561,21,30528,10.326399574248013
S_21d_18,21,4.920216171,1.5933524667341283,21,244340.87882822903,12.406319573694764,21,28032,10.241101993736118
S_21d_20,21,4.528471419,1.5103844474515713,21,167290.7488986784,12.027488588964708,21,36032,10.492162711499363
S_21d_21,21,4.025761218,1.3927140154735962,21,90702.27497527201,11.415337718206223,21,40896,10.618787537737207
S_21d_22,21,6.354097833,1.8490999328015008,21,908857.1428571428,13.719943202235914,21,41024,10.621912540280341
S_21d_23,21,3.346709785,1.2079777094766193,21,334150.07656967844,12.719345502086814,21,44096,10.694124354373331
S_21d_24,21,4.507053455,1.5056436040774934,21,682037.5335120644,13.432839969786425,21,46848,10.754663597320983
