,Day,mm2,log body size
146,10,1.865993827,0.6237937942739138
147,10,0.476521228,-0.7412430070375927
148,10,1.289596563,0.25432942759918137
149,10,1.005676658,0.005660606494265059
150,10,1.365089717,0.3112201532169423
151,10,0.901814958,-0.10334592630636583
152,10,1.347154231,0.2979943905024495
153,10,1.650299101,0.5009565448177973
154,10,0.529858782,-0.6351447569964299
155,10,1.98146084,0.6838343706471107
156,10,0.625983606,-0.46843109672336575
157,10,0.527865951,-0.6389129081908498
158,10,2.032336661,0.7091861956188662
159,10,1.512910939,0.41403556922701235
160,10,0.943195523,-0.058481676377535395
161,10,1.762014902,0.5664579849129571
162,10,1.15631129,0.14523501600721408
163,10,1.81042899,0.5935638282447764
164,10,0.78646517,-0.24020684227050845
165,10,0.802642275,-0.2198461499723051
