,day,symbiosis,individual,name,pxl,mm2,condition,log body size
433,28,apo,p3,8,42496,9.36,starved,2.2364452904895007
434,28,apo,p3,9,74128,16.33,starved,2.7930039069823738
435,28,apo,p3,10,81014,17.85,starved,2.8820035082256483
436,28,apo,p3,11,41652,9.18,starved,2.217027204632399
437,28,apo,p3,12,120289,26.5,starved,3.2771447329921766
438,28,apo,p3,13,141034,31.07,starved,3.436242723404956
439,28,apo,p3,14,128976,28.42,starved,3.3470931226689546
440,28,apo,p3,15,49573,10.92,starved,2.390595970316759
441,28,apo,p3,16,121157,26.7,starved,3.2846635654062037
485,35,apo,p1,2,34083,7.51,starved,2.0162354657760435
486,35,apo,p1,3,44768,9.86,starved,2.288486168614544
487,35,apo,p1,4,33321,7.34,starved,1.9933388426264242
488,35,apo,p1,5,78094,17.21,starved,2.845490610223448
489,35,apo,p1,6,57945,12.77,starved,2.547098670044448
490,35,apo,p1,7,64560,14.22,starved,2.6546494243750947
491,35,apo,p1,8,32065,7.07,starved,1.9558604799084813
492,35,apo,p1,9,81743,18.01,starved,2.8909271591878647
493,35,apo,p1,10,20717,4.56,starved,1.5173226235262947
494,35,apo,p1,11,37061,8.17,starved,2.1004689088719113
495,35,apo,p1,12,23285,5.13,starved,1.6351056591826783
496,35,apo,p1,13,87465,19.27,starved,2.958549482426275
497,35,apo,p1,14,43402,9.56,starved,2.25758772706331
498,35,apo,p2,1,55879,12.31,starved,2.510411940196362
499,35,apo,p2,2,42083,9.27,starved,2.2267833795777636
500,35,apo,p2,3,35654,7.86,starved,2.061786606441115
501,35,apo,p2,4,32955,7.26,starved,1.9823798288367047
502,35,apo,p2,5,51676,11.39,starved,2.432735777459091
503,35,apo,p2,6,71957,15.85,starved,2.7631695003232895
504,35,apo,p2,7,31221,6.88,starved,1.9286186519452522
505,35,apo,p2,8,42076,9.27,starved,2.2267833795777636
506,35,apo,p2,9,47048,10.37,starved,2.3389170222414357
507,35,apo,p2,10,19198,4.23,starved,1.4422019930581866
508,35,apo,p2,11,100971,22.25,starved,3.1023420086122493
509,35,apo,p2,12,32733,7.21,starved,1.9754689512968577
510,35,apo,p2,13,60842,13.41,starved,2.596000697293587
511,35,apo,p2,14,193253,42.58,starved,3.7513846594653333
512,35,apo,p2,15,57624,12.7,starved,2.5416019934645457
513,35,apo,p2,16,71804,15.82,starved,2.761274962339508
514,35,apo,p3,1,60031,13.23,starved,2.5824869781268642
515,35,apo,p3,2,96174,21.19,starved,3.0535293722802077
516,35,apo,p3,3,65710,14.48,starved,2.6727683869575705
517,35,apo,p3,4,72108,15.89,starved,2.7656899805486246
518,35,apo,p3,5,23675,5.22,starved,1.6524974018945473
519,35,apo,p3,6,32485,7.16,starved,1.9685099809725544
520,35,apo,p3,7,54845,12.08,starved,2.4915511925066687
521,35,apo,p3,8,49964,11.01,starved,2.3988039507345884
522,35,apo,p3,9,75372,16.61,starved,2.8100049236252036
523,35,apo,p3,10,62392,13.75,starved,2.6210388241125804
524,35,apo,p4,1,84141,18.54,starved,2.919930560137709
565,42,apo,p1,1,34026,7.5,starved,2.0149030205422647
566,42,apo,p1,2,40633,8.95,starved,2.191653532286764
567,42,apo,p1,3,21237,4.68,starved,1.5432981099295553
568,42,apo,p1,4,56314,12.41,starved,2.5185025992165158
569,42,apo,p1,5,41417,9.13,starved,2.211565694606877
570,42,apo,p1,6,68931,15.19,starved,2.7206373166076814
571,42,apo,p1,7,17918,3.95,starved,1.3737155789130306
572,42,apo,p1,8,11075,2.44,starved,0.8919980393051105
573,42,apo,p1,9,8809,1.94,starved,0.6626879730752367
574,42,apo,p1,10,26429,5.82,starved,1.7613002617433464
575,42,apo,p1,11,17344,3.82,starved,1.3402504226184837
576,42,apo,p1,12,65223,14.37,starved,2.6651427000909336
577,42,apo,p1,13,86579,19.08,starved,2.9486406660201405
578,42,apo,p2,1,105149,23.17,starved,3.142858338444285
579,42,apo,p2,2,40071,8.83,starved,2.178155014615869
580,42,apo,p2,1,38277,8.43,starved,2.131796772013764
581,42,apo,p2,2,50157,11.05,starved,2.402430427963762
582,42,apo,p2,3,38191,8.41,starved,2.1294214739848565
583,42,apo,p2,4,56044,12.35,starved,2.513656063073986
584,42,apo,p2,5,88519,19.5,starved,2.970414465569701
585,42,apo,p2,6,70766,15.59,starved,2.7466296830696852
586,42,apo,p2,7,48878,10.77,starved,2.3767644911682972
587,42,apo,p2,8,13574,2.99,starved,1.095273387402595
588,42,apo,p2,9,34707,7.65,starved,2.0347056478384444
589,42,apo,p2,10,48663,10.72,starved,2.372111155642656
590,42,apo,p2,11,40843,9.0,starved,2.1972245773362196
591,42,apo,p3,1,52326,11.53,starved,2.4449523342809676
592,42,apo,p3,2,81742,18.01,starved,2.8909271591878647
593,42,apo,p3,3,73770,16.25,starved,2.7880929087757464
594,42,apo,p3,4,81024,17.85,starved,2.8820035082256483
595,42,apo,p3,5,26410,5.82,starved,1.7613002617433464
596,42,apo,p3,6,53678,11.83,starved,2.4706386779902956
597,42,apo,p3,7,108916,24.0,starved,3.1780538303479458
598,42,apo,p3,8,75611,16.66,starved,2.8130106367386967
599,42,apo,p3,9,34072,7.51,starved,2.0162354657760435
600,42,apo,p3,10,26669,5.88,starved,1.7715567619105355
601,42,apo,p3,11,34967,7.7,starved,2.0412203288596382
602,42,apo,p3,12,37531,8.27,starved,2.1126345090356
603,42,apo,p3,13,126783,27.93,starved,3.3297013799570854
604,42,apo,p4,1,102251,22.53,starved,3.114847754444153
655,52,apo,p1,1,31478,6.94,starved,1.937301774518713
656,52,apo,p1,2,22900,5.05,starved,1.6193882432872684
657,52,apo,p1,3,24223,5.34,starved,1.6752256529721035
658,52,apo,p1,4,25934,5.71,starved,1.742219023667919
659,52,apo,p1,5,33789,7.44,starved,2.0068708488450007
660,52,apo,p1,6,8999,1.98,starved,0.6830968447064438
661,52,apo,p1,7,36216,7.98,starved,2.0769384114617173
662,52,apo,p1,8,53963,11.89,starved,2.4756977107026903
663,52,apo,p1,9,13514,2.98,starved,1.091923300517313
664,52,apo,p1,10,62354,13.74,starved,2.620311286794203
665,52,apo,p1,11,68911,15.18,starved,2.719978771967484
666,52,apo,p1,12,30975,6.82,starved,1.9198594718553708
667,52,apo,p1,13,20049,4.42,starved,1.4861396960896067
668,52,apo,p2,14,60613,13.36,starved,2.5922651681085
669,52,apo,p2,15,83408,18.38,starved,2.911263116927541
670,52,apo,p2,16,23567,5.19,starved,1.6467336971777973
671,52,apo,p2,17,12805,2.82,starved,1.0367368849500223
672,52,apo,p2,18,17618,3.88,starved,1.355835153635182
673,52,apo,p2,19,19870,4.38,starved,1.4770487243883548
674,52,apo,p2,20,56634,12.48,starved,2.5241273629412815
675,52,apo,p2,21,22313,4.92,starved,1.5933085305042167
676,52,apo,p2,22,13527,2.98,starved,1.091923300517313
677,52,apo,p2,23,16203,3.57,starved,1.2725655957915476
678,52,apo,p2,24,33378,7.35,starved,1.9947003132247452
679,52,apo,p2,25,17356,3.82,starved,1.3402504226184837
680,52,apo,p2,26,10540,2.32,starved,0.8415671856782185
681,52,apo,p3,1,38181,8.41,starved,2.1294214739848565
682,52,apo,p3,2,19987,4.4,starved,1.4816045409242156
683,52,apo,p3,3,31781,7.0,starved,1.9459101490553132
684,52,apo,p3,4,27088,5.97,starved,1.7867469274045107
685,52,apo,p3,5,28245,6.22,starved,1.827769906751088
686,52,apo,p3,6,52373,11.54,starved,2.4458192610799534
687,52,apo,p3,7,28982,6.39,starved,1.8547342683894434
688,52,apo,p3,8,30492,6.72,starved,1.9050881545350582
689,52,apo,p3,9,45769,10.08,starved,2.3105532626432224
690,52,apo,p3,10,64591,14.23,starved,2.655352412101761
691,52,apo,p3,11,29768,6.56,starved,1.8809906029559975
692,52,apo,p3,12,18791,4.14,starved,1.4206957878372228
693,52,apo,p4,1,89859,19.8,starved,2.9856819377004897
743,62,apo,p1,1,51428,11.33,starved,2.427454075039915
744,62,apo,p1,2,32679,7.2,starved,1.9740810260220096
745,62,apo,p1,3,30355,6.69,starved,1.900613874140137
746,62,apo,p1,4,33103,7.29,starved,1.986503546020567
747,62,apo,p1,5,10556,2.33,starved,0.8458682675776092
748,62,apo,p1,6,18319,4.04,starved,1.3962446919730587
749,62,apo,p1,7,37123,8.18,starved,2.1016921506146558
750,62,apo,p1,1,25938,5.72,starved,1.7439688053917064
751,62,apo,p1,2,39558,8.72,starved,2.1656192379208883
752,62,apo,p1,3,50578,11.14,starved,2.410542234499138
753,62,apo,p1,4,37958,8.36,starved,2.1234584270966104
754,62,apo,p2,5,33734,7.43,starved,2.005525858729668
755,62,apo,p2,6,23766,5.24,starved,1.6563214983329508
756,62,apo,p2,7,50835,11.2,starved,2.4159137783010487
757,62,apo,p2,8,43803,9.65,starved,2.2669579153508947
758,62,apo,p2,9,35162,7.75,starved,2.0476928433652555
759,62,apo,p2,10,34229,7.54,starved,2.020222182019865
760,62,apo,p2,11,22702,5.0,starved,1.6094379124341003
761,62,apo,p2,12,32301,7.12,starved,1.9629077254238845
762,62,apo,p2,13,12854,2.83,starved,1.0402767116551463
763,62,apo,p2,14,17825,3.93,starved,1.3686394258811698
764,62,apo,p2,15,36736,8.09,starved,2.0906287310704004
765,62,apo,p2,1,41026,9.04,starved,2.201659174404085
766,62,apo,p2,2,6964,1.53,starved,0.4252677354043441
