,Day,mm2,log body size
138,5,6.102691032,1.808729826686869
139,5,9.101285666,2.2084156855214676
140,5,4.815569489,1.5718543121918962
141,5,6.98538914,1.9438207019660119
142,5,6.691156437,1.9007867197395925
143,5,6.520009128,1.8748757759375816
144,5,6.728668176,1.9063772304624138
145,5,12.60042757,2.5337307475086672
146,5,11.00266193,2.398137237158997
147,5,6.945532917,1.9380987071716986
148,5,7.611366284,2.0296426937349277
149,5,6.381684591,1.853432104980108
150,5,7.280794084,1.9852399337326072
151,5,11.09644128,2.406624451507983
152,5,8.653489282,2.1579626248081625
153,5,8.304161213,2.116756740132003
154,5,13.54408225,2.6059497176121584
155,5,3.726556818,1.3154847022380018
156,5,6.287905244,1.8386279856749395
157,5,6.598549332,1.886849826691401
158,5,9.094252215,2.2076425892385974
159,5,8.081435263,2.0895694883177924
160,5,8.50578681,2.1407467330327483
161,5,3.327994591,1.2023698976571606
162,5,6.157786399,1.817717362151765
163,5,6.965461029,1.940963797288108
164,5,3.451079985,1.2386872211871773
165,5,9.978122564,2.3003949527869367
166,5,3.987966748,1.3832815140507884
167,5,6.738046111,1.9077699883862937
168,5,7.500003309,2.0149034617421675
