,Boots value,Legend
b_1.long.starvation..ii.,-0.0273286623933335,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0319276071244662,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0006420244329012,b_3.long.starvation..ii.
b_1.0.21d,0.239245047824852,b_1.0.21d
b_2.0.21d,-0.0231807806891937,b_2.0.21d
b_1.0.21d.cell.number,0.404205144297111,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.101069045541943,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0712216057570293,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0439852463336011,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.028112322930358,b_3.0.21d.cell.size
b_1.AL,0.246731346955421,b_1.AL
b_2.AL,-0.0230989890515521,b_2.AL
b_3.AL,0.061857981720903,b_3.AL
b_4.AL,-0.0230979572844547,b_4.AL
b_1.RES,0.174225876860482,b_1.RES
b_2.RES,-0.0283114854424341,b_2.RES
b_3.RES,0.0873730893608667,b_3.RES
b_4.RES,-0.0260726328878746,b_4.RES
b_1.long.starvation..ii.,-0.03367820479094,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0339072764164701,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0018602996213127,b_3.long.starvation..ii.
b_1.0.21d,0.209143589845902,b_1.0.21d
b_2.0.21d,-0.0233982238824743,b_2.0.21d
b_1.0.21d.cell.number,0.310906160645891,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.11057867123463,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.202863694649242,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0398547368272272,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0668722008135446,b_3.0.21d.cell.size
b_1.AL,0.361459267188219,b_1.AL
b_2.AL,-0.0222121627555615,b_2.AL
b_3.AL,0.0720475829808217,b_3.AL
b_4.AL,-0.0209417394186496,b_4.AL
b_1.RES,0.204319558925543,b_1.RES
b_2.RES,-0.0386494093573881,b_2.RES
b_3.RES,0.0676698824819175,b_3.RES
b_4.RES,-0.0235610277401926,b_4.RES
b_1.long.starvation..ii.,-0.0217907549093875,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0099040570931441,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0025644932475679,b_3.long.starvation..ii.
b_1.0.21d,0.267221755529949,b_1.0.21d
b_2.0.21d,-0.0158463900136719,b_2.0.21d
b_1.0.21d.cell.number,0.260749327007788,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.100873294217849,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0649304298136655,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0754859971259625,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.00456335578133,b_3.0.21d.cell.size
b_1.AL,0.256636706206948,b_1.AL
b_2.AL,-0.0203374954980104,b_2.AL
b_3.AL,0.0953448232527161,b_3.AL
b_4.AL,-0.0220563645080201,b_4.AL
b_1.RES,0.250395064705081,b_1.RES
b_2.RES,-0.0382340399724402,b_2.RES
b_3.RES,0.0441673694474404,b_3.RES
b_4.RES,-0.0151672673881604,b_4.RES
b_1.long.starvation..ii.,-0.0966264837731252,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0287272999016864,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0003501715445927,b_3.long.starvation..ii.
b_1.0.21d,0.174804995053011,b_1.0.21d
b_2.0.21d,-0.0173274879506649,b_2.0.21d
b_1.0.21d.cell.number,0.650255307098881,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0937640347960451,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.021993626732522,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0464524368996403,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0206075543556278,b_3.0.21d.cell.size
b_1.AL,0.324983124534194,b_1.AL
b_2.AL,-0.0175972421159231,b_2.AL
b_3.AL,0.0753551020016341,b_3.AL
b_4.AL,-0.0221324648856183,b_4.AL
b_1.RES,0.1384394402621,b_1.RES
b_2.RES,-0.0051530973921899,b_2.RES
b_3.RES,-0.0101682742521019,b_3.RES
b_4.RES,-0.009634369950569,b_4.RES
b_1.long.starvation..ii.,-0.0296396569983675,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0121920572274801,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0042755678834518,b_3.long.starvation..ii.
b_1.0.21d,0.360878841013807,b_1.0.21d
b_2.0.21d,-0.0318708176709575,b_2.0.21d
b_1.0.21d.cell.number,0.255702396652444,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0902561441487506,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0648775357881873,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0429731945556653,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0408863164153211,b_3.0.21d.cell.size
b_1.AL,0.23132160816521,b_1.AL
b_2.AL,-0.0239578802050384,b_2.AL
b_3.AL,0.0575151427888663,b_3.AL
b_4.AL,-0.0243077679635069,b_4.AL
b_1.RES,0.119678573396864,b_1.RES
b_2.RES,-0.0403831107825554,b_2.RES
b_3.RES,0.0331952592084034,b_3.RES
b_4.RES,-0.0211656104269129,b_4.RES
b_1.long.starvation..ii.,-0.0668473186624916,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0270816216142449,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0016441783310059,b_3.long.starvation..ii.
b_1.0.21d,0.298451891311389,b_1.0.21d
b_2.0.21d,-0.0247285715081588,b_2.0.21d
b_1.0.21d.cell.number,0.743787359453648,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0982124444944746,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.153380912887933,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0401207127735893,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0124192355821847,b_3.0.21d.cell.size
b_1.AL,0.31742889680171,b_1.AL
b_2.AL,-0.0201498281055545,b_2.AL
b_3.AL,0.0367591667621639,b_3.AL
b_4.AL,-0.0263054993382371,b_4.AL
b_1.RES,0.184003281375972,b_1.RES
b_2.RES,-0.0415939207187071,b_2.RES
b_3.RES,0.0400807913599702,b_3.RES
b_4.RES,-0.0242819565312645,b_4.RES
b_1.long.starvation..ii.,-0.028465167760813,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0314649551157533,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0001396739949985,b_3.long.starvation..ii.
b_1.0.21d,0.142225584594584,b_1.0.21d
b_2.0.21d,-0.0125088384588776,b_2.0.21d
b_1.0.21d.cell.number,0.281579210778245,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0860378412130349,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0134815903051766,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0587958323385767,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0779964239538497,b_3.0.21d.cell.size
b_1.AL,0.428852142169592,b_1.AL
b_2.AL,-0.0250927995432327,b_2.AL
b_3.AL,0.0724599891094538,b_3.AL
b_4.AL,-0.0266505919795072,b_4.AL
b_1.RES,0.200089451450772,b_1.RES
b_2.RES,-0.0364980207312111,b_2.RES
b_3.RES,0.014241707250797,b_3.RES
b_4.RES,-0.0178142628065147,b_4.RES
b_1.long.starvation..ii.,-0.0140026854277862,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0049190404454955,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0055860900940628,b_3.long.starvation..ii.
b_1.0.21d,0.194939081804117,b_1.0.21d
b_2.0.21d,-0.012862771310208,b_2.0.21d
b_1.0.21d.cell.number,0.315846878407774,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.121201498511759,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.13626237697391,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0394610896934841,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0650055483949383,b_3.0.21d.cell.size
b_1.AL,0.158998687665305,b_1.AL
b_2.AL,-0.0246212904545578,b_2.AL
b_3.AL,0.0274016621597712,b_3.AL
b_4.AL,-0.0198089555951946,b_4.AL
b_1.RES,0.149127111171669,b_1.RES
b_2.RES,-0.0513342080905897,b_2.RES
b_3.RES,0.0791613125079228,b_3.RES
b_4.RES,-0.025007710418349,b_4.RES
b_1.long.starvation..ii.,-0.103304233980207,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0266070567174632,b_2.long.starvation..ii.
b_3.long.starvation..ii.,1.03424630619156e-05,b_3.long.starvation..ii.
b_1.0.21d,0.315980695119234,b_1.0.21d
b_2.0.21d,-0.0292554423232635,b_2.0.21d
b_1.0.21d.cell.number,0.4445647441268,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.104445039756905,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0259938181876589,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0549909207938209,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0304422964287682,b_3.0.21d.cell.size
b_1.AL,0.258852957416529,b_1.AL
b_2.AL,-0.0167213076690254,b_2.AL
b_3.AL,0.0648423536061986,b_3.AL
b_4.AL,-0.0230605963749724,b_4.AL
b_1.RES,0.194033847221312,b_1.RES
b_2.RES,-0.040325402350846,b_2.RES
b_3.RES,0.0386561500429303,b_3.RES
b_4.RES,-0.018695877116584,b_4.RES
b_1.long.starvation..ii.,-0.117367235184662,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.024771969449537,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0027101386043125,b_3.long.starvation..ii.
b_1.0.21d,0.204146746679735,b_1.0.21d
b_2.0.21d,-0.0193240715788042,b_2.0.21d
b_1.0.21d.cell.number,0.614887557753504,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.118267824014042,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0549945928420552,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0614265574740885,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0412093806452589,b_3.0.21d.cell.size
b_1.AL,0.311229289267718,b_1.AL
b_2.AL,-0.0193548292978948,b_2.AL
b_3.AL,0.0593297309753108,b_3.AL
b_4.AL,-0.0226913852801034,b_4.AL
b_1.RES,0.196990163131195,b_1.RES
b_2.RES,-0.039745227368806,b_2.RES
b_3.RES,0.0790417939397919,b_3.RES
b_4.RES,-0.0155126724549619,b_4.RES
b_1.long.starvation..ii.,-0.125842627128263,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0267992261368825,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0032271789732995,b_3.long.starvation..ii.
b_1.0.21d,0.315570815184794,b_1.0.21d
b_2.0.21d,-0.0274638250361737,b_2.0.21d
b_1.0.21d.cell.number,0.202253833578139,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0821761475210429,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.118436113168812,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0430122806583453,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0222824834476684,b_3.0.21d.cell.size
b_1.AL,0.235097257366215,b_1.AL
b_2.AL,-0.0217517215746719,b_2.AL
b_3.AL,0.0594719762444803,b_3.AL
b_4.AL,-0.0236310111656865,b_4.AL
b_1.RES,0.179538945595257,b_1.RES
b_2.RES,-0.0401325121471484,b_2.RES
b_3.RES,0.0295289990952215,b_3.RES
b_4.RES,-0.024071698652538,b_4.RES
b_1.long.starvation..ii.,-0.0261184352491758,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0022167400100448,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0111439955182543,b_3.long.starvation..ii.
b_1.0.21d,0.305080925953932,b_1.0.21d
b_2.0.21d,-0.0289491143141298,b_2.0.21d
b_1.0.21d.cell.number,0.433868393488128,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.107347936358988,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0480178991926402,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0619161743419167,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0158626117014496,b_3.0.21d.cell.size
b_1.AL,0.174991353636455,b_1.AL
b_2.AL,-0.0180131211199865,b_2.AL
b_3.AL,0.17305901893396,b_3.AL
b_4.AL,-0.0215706034326109,b_4.AL
b_1.RES,0.0721927378141888,b_1.RES
b_2.RES,-0.0393934024865893,b_2.RES
b_3.RES,0.0665355314252754,b_3.RES
b_4.RES,-0.0122911340072362,b_4.RES
b_1.long.starvation..ii.,0.0279215875052921,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0192841184492325,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0232107416297105,b_3.long.starvation..ii.
b_1.0.21d,0.218351274592442,b_1.0.21d
b_2.0.21d,-0.0193095007371794,b_2.0.21d
b_1.0.21d.cell.number,0.374912386769472,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0933225816826835,b_2.0.21d.cell.number
b_1.0.21d.cell.size,-0.143000687606655,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0401480979827046,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0363831906547574,b_3.0.21d.cell.size
b_1.AL,0.284681335456407,b_1.AL
b_2.AL,-0.0146271115059837,b_2.AL
b_3.AL,0.0930706566356338,b_3.AL
b_4.AL,-0.0223198829186887,b_4.AL
b_1.RES,0.18255895991602,b_1.RES
b_2.RES,-0.0369651438712448,b_2.RES
b_3.RES,0.0453281333362703,b_3.RES
b_4.RES,-0.0208520037437214,b_4.RES
b_1.long.starvation..ii.,-0.0447988965463956,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0229847422844695,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0047984391438581,b_3.long.starvation..ii.
b_1.0.21d,0.165299305932677,b_1.0.21d
b_2.0.21d,-0.0166824660619732,b_2.0.21d
b_1.0.21d.cell.number,0.254603047696466,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.101025673271511,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0115235967570617,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0504523394808041,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0270830038763349,b_3.0.21d.cell.size
b_1.AL,0.321261847133375,b_1.AL
b_2.AL,-0.0178418004523722,b_2.AL
b_3.AL,0.0788539921363506,b_3.AL
b_4.AL,-0.0214169039471885,b_4.AL
b_1.RES,0.286265692465996,b_1.RES
b_2.RES,-0.0330494689418766,b_2.RES
b_3.RES,0.0398491885275387,b_3.RES
b_4.RES,-0.029785146579028,b_4.RES
b_1.long.starvation..ii.,-0.0339139939900723,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0221973392641875,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0041741993959626,b_3.long.starvation..ii.
b_1.0.21d,0.204309166808707,b_1.0.21d
b_2.0.21d,-0.0223346164674699,b_2.0.21d
b_1.0.21d.cell.number,0.321507631620223,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.113753787240088,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.16916114922436,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0516696369089531,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.12386411077627,b_3.0.21d.cell.size
b_1.AL,0.231770529338109,b_1.AL
b_2.AL,-0.0213831077266903,b_2.AL
b_3.AL,0.0365379531866805,b_3.AL
b_4.AL,-0.0212582400556255,b_4.AL
b_1.RES,0.156261847204711,b_1.RES
b_2.RES,-0.0418817239100855,b_2.RES
b_3.RES,0.0374801796754369,b_3.RES
b_4.RES,-0.0164384213747527,b_4.RES
b_1.long.starvation..ii.,-0.0711286497987968,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0262812177824337,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0017340324606617,b_3.long.starvation..ii.
b_1.0.21d,0.182350869121006,b_1.0.21d
b_2.0.21d,-0.0265393865347487,b_2.0.21d
b_1.0.21d.cell.number,0.276964861603037,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.107406199381498,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0375076749651218,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0384317315885192,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.045220210472762,b_3.0.21d.cell.size
b_1.AL,0.305625260023098,b_1.AL
b_2.AL,-0.0199804241078402,b_2.AL
b_3.AL,0.0397091031296668,b_3.AL
b_4.AL,-0.0195933840652308,b_4.AL
b_1.RES,0.159203829335941,b_1.RES
b_2.RES,-0.0234210953455563,b_2.RES
b_3.RES,0.0631380547916103,b_3.RES
b_4.RES,-0.0008738355560261,b_4.RES
b_1.long.starvation..ii.,-0.0339088610089305,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0190929108712374,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-4.41309181140396e-05,b_3.long.starvation..ii.
b_1.0.21d,0.182050870709841,b_1.0.21d
b_2.0.21d,-0.0180123743903677,b_2.0.21d
b_1.0.21d.cell.number,0.169118737320657,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0933601284160262,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0473246308813899,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0326754354964989,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0041341462648236,b_3.0.21d.cell.size
b_1.AL,0.246198937765384,b_1.AL
b_2.AL,-0.0229181908856164,b_2.AL
b_3.AL,0.0575330049674171,b_3.AL
b_4.AL,-0.0233775959467428,b_4.AL
b_1.RES,0.132787436571276,b_1.RES
b_2.RES,-0.0390858179325986,b_2.RES
b_3.RES,0.0862128585726127,b_3.RES
b_4.RES,-0.0214880749072742,b_4.RES
b_1.long.starvation..ii.,-0.118124649393056,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0308758499686521,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0002264856781992,b_3.long.starvation..ii.
b_1.0.21d,0.230386080032291,b_1.0.21d
b_2.0.21d,-0.0228581197876977,b_2.0.21d
b_1.0.21d.cell.number,0.547310564101486,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0948920203372601,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.194183631931381,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0431205111090537,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.163821243077709,b_3.0.21d.cell.size
b_1.AL,0.27548683150212,b_1.AL
b_2.AL,-0.0243046337734048,b_2.AL
b_3.AL,0.051847607635482,b_3.AL
b_4.AL,-0.0253845840521735,b_4.AL
b_1.RES,0.153897295524478,b_1.RES
b_2.RES,-0.0404177448672518,b_2.RES
b_3.RES,0.018593839460307,b_3.RES
b_4.RES,-0.0262377068228221,b_4.RES
b_1.long.starvation..ii.,-0.0265061931502303,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0138636996313059,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0010430605182492,b_3.long.starvation..ii.
b_1.0.21d,0.224448476989292,b_1.0.21d
b_2.0.21d,-0.0255140597542072,b_2.0.21d
b_1.0.21d.cell.number,0.416891603590614,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.114570914754292,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.138426879779221,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0468967344808194,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.12725387956511,b_3.0.21d.cell.size
b_1.AL,0.309988132561221,b_1.AL
b_2.AL,-0.0217245451224275,b_2.AL
b_3.AL,0.0526347769552812,b_3.AL
b_4.AL,-0.0233814976783962,b_4.AL
b_1.RES,0.162168663402078,b_1.RES
b_2.RES,-0.0387425845442715,b_2.RES
b_3.RES,0.0191868955072617,b_3.RES
b_4.RES,-0.0261356147966509,b_4.RES
b_1.long.starvation..ii.,-0.0196195594556967,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0041685163403287,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-7.34546349708181e-06,b_3.long.starvation..ii.
b_1.0.21d,0.252037403961036,b_1.0.21d
b_2.0.21d,-0.0205291580729674,b_2.0.21d
b_1.0.21d.cell.number,0.321058139028872,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.107139724497564,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0414190464741445,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0500791666236947,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.033745021006543,b_3.0.21d.cell.size
b_1.AL,0.210267140983314,b_1.AL
b_2.AL,-0.0169950625250163,b_2.AL
b_3.AL,0.0429023899480913,b_3.AL
b_4.AL,-0.0209619813581117,b_4.AL
b_1.RES,0.139139492376584,b_1.RES
b_2.RES,-0.0278388903336971,b_2.RES
b_3.RES,0.0673956963671435,b_3.RES
b_4.RES,-0.0270136844377099,b_4.RES
b_1.long.starvation..ii.,-0.0990906676367949,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.029676842879362,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0008218743930857,b_3.long.starvation..ii.
b_1.0.21d,0.162972296534344,b_1.0.21d
b_2.0.21d,-0.0203970828774706,b_2.0.21d
b_1.0.21d.cell.number,0.433447584432032,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.130400751904747,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.13429385740282,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0343315018550044,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0977281695936741,b_3.0.21d.cell.size
b_1.AL,0.0750434161848254,b_1.AL
b_2.AL,-0.0314495248882505,b_2.AL
b_3.AL,0.0064950331303509,b_3.AL
b_4.AL,-0.0233364807367111,b_4.AL
b_1.RES,0.20143240948518,b_1.RES
b_2.RES,-0.036893722561171,b_2.RES
b_3.RES,0.0330974537699064,b_3.RES
b_4.RES,-0.025313174573774,b_4.RES
b_1.long.starvation..ii.,-0.0333304793757916,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0013188329242463,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0111586507060961,b_3.long.starvation..ii.
b_1.0.21d,0.215459483599612,b_1.0.21d
b_2.0.21d,-0.0264418987505563,b_2.0.21d
b_1.0.21d.cell.number,0.424624281387858,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.106007147680503,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0654213798879856,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0517464061750691,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0093136805185922,b_3.0.21d.cell.size
b_1.AL,0.141614417223059,b_1.AL
b_2.AL,-0.0275053023826324,b_2.AL
b_3.AL,0.0671943682043932,b_3.AL
b_4.AL,-0.0238349665968976,b_4.AL
b_1.RES,0.167401566976826,b_1.RES
b_2.RES,-0.0331625861362369,b_2.RES
b_3.RES,0.0433769679145845,b_3.RES
b_4.RES,-0.0261833151693598,b_4.RES
b_1.long.starvation..ii.,-0.0551896963252694,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0255322362742546,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0018064895743809,b_3.long.starvation..ii.
b_1.0.21d,0.240986367704803,b_1.0.21d
b_2.0.21d,-0.0253017454091801,b_2.0.21d
b_1.0.21d.cell.number,0.210197878712572,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.103171536498228,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.123728507509784,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.044041781283525,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0470021401083503,b_3.0.21d.cell.size
b_1.AL,0.241496322060199,b_1.AL
b_2.AL,-0.0192812176362434,b_2.AL
b_3.AL,0.0491071910831851,b_3.AL
b_4.AL,-0.0195528380621784,b_4.AL
b_1.RES,0.216622939459078,b_1.RES
b_2.RES,-0.0326953935434059,b_2.RES
b_3.RES,0.0437427488742236,b_3.RES
b_4.RES,-0.0272776170251207,b_4.RES
b_1.long.starvation..ii.,-0.0294223752817547,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0387907724099458,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0008530798110833,b_3.long.starvation..ii.
b_1.0.21d,0.299454596870494,b_1.0.21d
b_2.0.21d,-0.0242534841109153,b_2.0.21d
b_1.0.21d.cell.number,0.497486663581105,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.092040713035359,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0104063394808488,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0518402877588611,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0244979225186731,b_3.0.21d.cell.size
b_1.AL,0.282458124187718,b_1.AL
b_2.AL,-0.0222400115739468,b_2.AL
b_3.AL,0.0650984120553148,b_3.AL
b_4.AL,-0.0236579336743539,b_4.AL
b_1.RES,0.16599173290026,b_1.RES
b_2.RES,-0.0290322846894227,b_2.RES
b_3.RES,0.0293300143829159,b_3.RES
b_4.RES,-0.0204043151363501,b_4.RES
b_1.long.starvation..ii.,-0.0346426792115286,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0191645922309018,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0029896130862278,b_3.long.starvation..ii.
b_1.0.21d,0.196343662765569,b_1.0.21d
b_2.0.21d,-0.0200535146502836,b_2.0.21d
b_1.0.21d.cell.number,0.430462635231956,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.105994072035966,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0743710703536413,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0558548061589537,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0766788762254762,b_3.0.21d.cell.size
b_1.AL,0.325961008093392,b_1.AL
b_2.AL,-0.0191032049815461,b_2.AL
b_3.AL,0.050268401991892,b_3.AL
b_4.AL,-0.0225942505914868,b_4.AL
b_1.RES,0.182196697728165,b_1.RES
b_2.RES,-0.0403532396903978,b_2.RES
b_3.RES,0.0505085042673463,b_3.RES
b_4.RES,-0.0249577006437555,b_4.RES
b_1.long.starvation..ii.,-0.0171904197993683,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0144804078695722,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0129845479760413,b_3.long.starvation..ii.
b_1.0.21d,0.196498067942057,b_1.0.21d
b_2.0.21d,-0.0188494096666686,b_2.0.21d
b_1.0.21d.cell.number,0.375835042666646,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.108522720241434,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0964292644285388,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0389692756041505,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0018456409249587,b_3.0.21d.cell.size
b_1.AL,0.398387730691111,b_1.AL
b_2.AL,-0.0264099349821899,b_2.AL
b_3.AL,0.159736814145677,b_3.AL
b_4.AL,-0.0186007270519136,b_4.AL
b_1.RES,0.234661270487876,b_1.RES
b_2.RES,-0.032976474627705,b_2.RES
b_3.RES,0.0527262347575742,b_3.RES
b_4.RES,-0.0255436747118164,b_4.RES
