,Boots value,Legend
b_3.long.starvation..ii.,0.0005845576364573,b_3.long.starvation..ii.
b_1.0.21d,0.2707920768733,b_1.0.21d
b_2.0.21d,-0.0269781101695843,b_2.0.21d
b_1.0.21d.cell.number,0.564556237502018,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.101933340078259,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0891321579858656,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0528250674758085,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.017019604904499,b_3.0.21d.cell.size
b_1.AL,0.253431007296861,b_1.AL
b_2.AL,-0.0184877429857214,b_2.AL
b_3.AL,0.080028768987912,b_3.AL
b_4.AL,-0.0184752820878413,b_4.AL
b_1.RES,0.157016211328435,b_1.RES
b_2.RES,-0.0449452559625947,b_2.RES
b_3.RES,0.0204502960635915,b_3.RES
b_4.RES,-0.0204410575684274,b_4.RES
b_1.long.starvation..ii.,-0.0237271801444243,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0021740317940962,b_2.long.starvation..ii.
b_3.long.starvation..ii.,-0.0115082708553535,b_3.long.starvation..ii.
b_1.0.21d,0.118414797285939,b_1.0.21d
b_2.0.21d,-0.0180361031034959,b_2.0.21d
b_1.0.21d.cell.number,0.364722117203072,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.0748614543603101,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.047365413947454,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0564912158498373,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0330618630590302,b_3.0.21d.cell.size
b_1.AL,0.0316913931257827,b_1.AL
b_2.AL,-0.0972554568441616,b_2.AL
b_3.AL,0.0475452880983233,b_3.AL
b_4.AL,-0.0236366892294458,b_4.AL
b_1.RES,0.20750691443731,b_1.RES
b_2.RES,-0.0442251259324714,b_2.RES
b_3.RES,0.0667042260884088,b_3.RES
b_4.RES,-0.0175283631020861,b_4.RES
b_1.long.starvation..ii.,-0.132849993446116,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0290784713780497,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0010725434995042,b_3.long.starvation..ii.
b_1.0.21d,0.187845113269688,b_1.0.21d
b_2.0.21d,-0.0228080529043484,b_2.0.21d
b_1.0.21d.cell.number,0.396148608093047,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.107424229016766,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.102164887812826,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.0369101917711094,b_2.0.21d.cell.size
b_3.0.21d.cell.size,0.0787534885990436,b_3.0.21d.cell.size
b_1.AL,0.325410854111028,b_1.AL
b_2.AL,-0.0166076843682721,b_2.AL
b_3.AL,0.046774705170794,b_3.AL
b_4.AL,-0.0174946936615864,b_4.AL
b_1.RES,0.137675679897592,b_1.RES
b_2.RES,-0.0434095052071719,b_2.RES
b_3.RES,0.0559885258055453,b_3.RES
b_4.RES,-0.015259733833047,b_4.RES
b_1.long.starvation..ii.,-0.0728350341735838,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0242927525973687,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0056281134776507,b_3.long.starvation..ii.
b_1.0.21d,0.264406301537199,b_1.0.21d
b_2.0.21d,-0.0194235830845685,b_2.0.21d
b_1.0.21d.cell.number,0.215103283683216,b_1.0.21d.cell.number
b_2.0.21d.cell.number,-0.094725983810416,b_2.0.21d.cell.number
b_1.0.21d.cell.size,0.0462415209157269,b_1.0.21d.cell.size
b_2.0.21d.cell.size,-0.057445571983984,b_2.0.21d.cell.size
b_3.0.21d.cell.size,-0.0013810197462843,b_3.0.21d.cell.size
b_1.AL,0.18493019424237,b_1.AL
b_2.AL,-0.0180102372951447,b_2.AL
b_3.AL,0.0327407918666368,b_3.AL
b_4.AL,-0.0211158089439989,b_4.AL
b_1.RES,0.124751219832379,b_1.RES
b_2.RES,-0.0393244722434398,b_2.RES
b_3.RES,0.0195799789527374,b_3.RES
b_4.RES,-0.0187763313019622,b_4.RES
b_1.long.starvation..ii.,-0.0286163983119926,b_1.long.starvation..ii.
b_2.long.starvation..ii.,-0.0258099145865261,b_2.long.starvation..ii.
b_3.long.starvation..ii.,0.0029617840049748,b_3.long.starvation..ii.
b_1.0.21d,0.318506468057053,b_1.0.21d
b_2.0.21d,-0.0245006410894221,b_2.0.21d
b_1.0.21d.cell.number,0.499974587633253,b_1.0.21d.cell.number
