day	symbiosis	individual	name	pxl	mm2	condition
14	sym	p6	4	132573	29,21	fed
14	sym	p6	5	61749	13,61	fed
14	sym	p6	6	189841	41,83	fed
14	sym	p6	7	111520	24,57	fed
14	sym	p6	8	67754	14,93	fed
14	sym	p6	9	118795	26,17	fed
14	sym	p6	10	69099	15,23	fed
14	sym	p6	11	118501	26,11	fed
14	sym	p6	12	66874	14,73	fed
14	sym	p6	13	64542	14,22	fed
14	sym	p6	14	237740	52,38	fed
14	sym	p6	15	77707	17,12	fed
14	sym	p6	16	141045	31,08	fed
14	sym	p6	17	154023	33,94	fed
14	sym	p6	18	138948	30,62	fed
14	sym	p6	19	130807	28,82	fed
14	sym	p6	20	96156	21,19	fed
21	apo	p1	1	51089	11,26	starved
21	apo	p1	2	57444	12,66	starved
21	apo	p1	3	51112	11,26	starved
21	apo	p1	4	73098	16,11	starved
21	apo	p1	5	92020	20,28	starved
21	apo	p1	6	75293	16,59	starved
21	apo	p1	7	55815	12,30	starved
21	apo	p1	8	46771	10,31	starved
21	apo	p1	9	51320	11,31	starved
21	apo	p1	10	48352	10,65	starved
21	apo	p1	11	52211	11,50	starved
21	apo	p1	12	43168	9,51	starved
21	apo	p1	13	33782	7,44	starved
21	apo	p1	14	45630	10,05	starved
21	apo	p1	15	89143	19,64	starved
21	apo	p1	16	105682	23,29	starved
21	apo	p2	17	49372	10,88	starved
21	apo	p2	18	142508	31,40	starved
21	apo	p2	19	58436	12,88	starved
21	apo	p2	20	48542	10,70	starved
21	apo	p2	21	124278	27,38	starved
21	apo	p2	22	200816	44,25	starved
21	apo	p2	23	61722	13,60	starved
21	apo	p2	24	78894	17,38	starved
21	apo	p2	25	43907	9,67	starved
21	apo	p2	26	56956	12,55	starved
21	apo	p2	27	108533	23,91	starved
21	apo	p2	28	73840	16,27	starved
21	apo	p2	29	54720	12,06	starved
21	apo	p2	30	59820	13,18	starved
21	apo	p2	31	77692	17,12	starved
21	apo	p2	32	48653	10,72	starved
21	apo	p3	1	155363	34,23	starved
21	apo	p3	2	100153	22,07	starved
21	apo	p3	3	34897	7,69	starved
21	apo	p3	4	229587	50,59	starved
21	apo	p3	5	167524	36,91	starved
21	apo	p3	6	132792	29,26	starved
21	apo	p3	7	71061	15,66	starved
21	apo	p3	8	63590	14,01	starved
21	apo	p3	9	73052	16,10	starved
21	apo	p3	10	60741	13,38	starved
21	apo	p3	11	87378	19,25	starved
21	apo	p3	12	79565	17,53	starved
21	apo	p3	13	66310	14,61	starved
21	apo	p3	14	49492	10,90	starved
21	apo	p3	15	150653	33,19	starved
21	apo	p3	16	157716	34,75	starved
21	apo	p3	17	63608	14,02	starved
21	sym	p4	1	128325	28,27	starved
21	sym	p4	2	210158	46,31	starved
21	sym	p4	3	208329	45,90	starved
21	sym	p4	4	77260	17,02	starved
21	sym	p4	5	76505	16,86	starved
21	sym	p4	6	56226	12,39	starved
21	sym	p4	7	113824	25,08	starved
21	sym	p4	8	140142	30,88	starved
21	sym	p4	9	282931	62,34	starved
21	sym	p4	10	112997	24,90	starved
21	sym	p4	11	180590	39,79	starved
