,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3582,Cyclicfeeding_starving,4,P14_1,1.18,RES,FED,4,0.16551443847757333
3583,Cyclicfeeding_starving,4,P14_2,1.74,RES,FED,4,0.5538851132264376
3584,Cyclicfeeding_starving,4,P14_3,1.25,RES,FED,4,0.22314355131420976
3585,Cyclicfeeding_starving,4,P14_4,3.27,RES,FED,4,1.184789984909162
3586,Cyclicfeeding_starving,4,P14_5,1.99,RES,FED,4,0.688134638736401
3587,Cyclicfeeding_starving,4,P14_6,2.3,RES,FED,4,0.8329091229351039
3588,Cyclicfeeding_starving,4,P15_1,2.36,RES,FED,4,0.8586616190375187
3589,Cyclicfeeding_starving,4,P15_2,1.55,RES,FED,4,0.4382549309311553
3590,Cyclicfeeding_starving,4,P15_3,2.75,RES,FED,4,1.0116009116784799
3591,Cyclicfeeding_starving,4,P15_4,1.01,RES,FED,4,0.009950330853168092
3592,Cyclicfeeding_starving,4,P15_5,2.5,RES,FED,4,0.9162907318741551
3593,Cyclicfeeding_starving,4,P15_6,2.72,RES,FED,4,1.000631880307906
3594,Cyclicfeeding_starving,4,P16_1,1.84,RES,FED,4,0.6097655716208943
3595,Cyclicfeeding_starving,4,P16_2,1.86,RES,FED,4,0.62057648772511
3596,Cyclicfeeding_starving,4,P16_3,3.46,RES,FED,4,1.2412685890696329
3597,Cyclicfeeding_starving,4,P16_4,2.14,RES,FED,4,0.7608058290337602
3598,Cyclicfeeding_starving,4,P16_5,2.61,RES,FED,4,0.959350221334602
3599,Cyclicfeeding_starving,4,P16_6,1.46,RES,FED,4,0.37843643572024505
3642,Cyclicfeeding_starving,4,P9_1,2.52,RES,FED,4,0.9242589015233319
3643,Cyclicfeeding_starving,4,P9_2,1.98,RES,FED,4,0.6830968447064438
3644,Cyclicfeeding_starving,4,P9_3,0.07,RES,FED,4,-2.659260036932778
3645,Cyclicfeeding_starving,4,P9_4,2.22,RES,FED,4,0.7975071958841882
