,Day,log body size
181,10,1.0341672540049864
182,10,-0.0521237949471634
183,10,0.1165598389673579
184,10,-0.4367582699371818
185,10,1.144542007566706
186,10,-0.0413980447803519
187,10,-0.2606164545774656
188,10,0.6210245647429624
189,10,0.1728457957397238
197,14,1.62157463594241
198,14,1.821111402500874
199,14,1.3968930582233758
200,14,1.0745228473000636
201,14,1.326372480744713
202,14,0.8339853014732809
203,14,2.077625497043547
204,14,1.4628199808535067
205,14,0.7024862513644223
206,14,1.4722039636288646
207,14,1.7258536341871706
11,0,-1.4080564305495702
12,0,-1.3780157515669291
13,0,-1.3780157515669291
14,0,-1.584156248978016
15,0,-1.629723531351957
16,0,-1.792468132270404
17,0,-1.799436798647352
29,1,-1.5237140668741114
30,1,-1.2731371119357913
31,1,-1.3393157568346667
32,1,-1.619156954686539
33,1,-1.8078638148859827
34,1,-1.955804385981775
35,1,-1.7667597759868952
47,2,-1.102799214622331
48,2,-1.2995095097852598
49,2,-1.3727531821154275
50,2,-1.7876187936694683
51,2,-1.8310501555494008
52,2,-1.801536902928797
53,2,-1.7253288286530022
65,3,-0.7694428260808449
66,3,-1.1203743580977892
67,3,-0.9027780803590087
68,3,-1.5935034332565243
69,3,-1.70190404138785
70,3,-2.099314148384517
71,3,-1.8863210373120696
83,4,-0.7190549471509811
84,4,-0.2846169985935691
85,4,-0.7317163687217352
86,4,-1.651197664219623
87,4,-1.5092229715689145
88,4,-1.967731322525743
89,4,-1.8510982142635133
101,5,-0.5121131556128349
102,5,-0.6498168044209602
103,5,-0.2698900912942811
104,5,-1.5693245785544927
105,5,-1.6783956720374813
106,5,-1.6842990596914562
118,6,-0.1649311105863742
119,6,-0.3824979329853436
120,6,-0.3636864946537402
121,6,-1.5081772175679713
122,6,-1.0787016613217923
123,6,-1.7085866445629236
124,6,-1.4281144118659386
136,7,-0.0791082365110806
137,7,-0.3214943908674887
138,7,0.2483462722162354
139,7,-1.1244607112495828
140,7,-1.0068557209250484
141,7,-1.7321703612534176
142,7,-1.0899896219393577
154,8,0.1799235839538733
155,8,-0.3335301627679487
156,8,0.230963235336767
157,8,-0.9613722436044636
158,8,-1.0934355262545048
159,8,-1.6209103145001833
160,8,-0.9187370115779688
172,9,0.7345374764463845
173,9,0.0278158054640484
174,9,0.7617669828652427
175,9,-0.7145547031719368
176,9,-1.17054846027348
177,9,-1.471240471514233
178,9,-0.4939430088273289
190,10,1.1034246244500951
191,10,0.0829067166355487
192,10,1.02893142413964
193,10,-0.4100876676932106
194,10,-0.7897448930788977
195,10,-0.9327477487713264
196,10,0.0257890064528528
208,14,1.8947867411384949
209,14,1.4536580093096991
210,14,1.915788343259864
211,14,0.6022655848352755
212,14,0.2093871751549187
213,14,-0.0841280124288429
214,14,1.033406258040085
S_0d_1,0,1.31492768778624
S_0d_2,0,1.7913663462986944
S_0d_3,0,1.0726248780884933
S_0d_4,0,1.10880807718286
S_0d_5,0,1.139689863005061
S_0d_6,0,1.2164744527493123
S_0d_7,0,1.5302749509537097
S_0d_8,0,1.527577743778461
S_0d_9,0,1.51525982087599
S_0d_10,0,1.0303989561188562
S_0d_11,0,1.21086863225791
S_0d_12,0,1.395320061416124
S_0d_13,0,1.388677708689354
S_0d_14,0,1.878128284513568
S_0d_15,0,1.3534710078930954
S_0d_16,0,1.2020173965616874
S_0d_17,0,1.7725182678828284
S_0d_18,0,0.8762482763510753
S_0d_19,0,1.4744079424174543
S_0d_20,0,1.350647749609147
S_0d_21,0,1.3530229851521267
S_0d_22,0,1.4013661814606004
S_0d_23,0,0.7963223347539344
S_0d_24,0,1.0565508110281498
S_1d_1,1,1.0793364295851895
S_1d_2,1,1.3200354412113202
S_1d_3,1,0.8373706039721044
S_1d_4,1,1.221026835631796
S_1d_5,1,0.8672482368519709
S_1d_6,1,1.5345490264927153
S_1d_7,1,1.1468748997376186
S_1d_8,1,1.144150014150323
S_1d_9,1,0.8647170786107801
S_1d_10,1,1.2845684694287918
S_1d_11,1,1.2590957582721982
S_1d_12,1,0.4706557715547075
S_1d_13,1,1.0542789703400552
S_1d_14,1,0.725474760758822
S_1d_15,1,0.9938897590835116
S_1d_16,1,1.1474254624140892
S_1d_17,1,2.048750132882819
S_1d_18,1,1.6842963056657667
S_1d_19,1,1.3100965530872626
S_1d_20,1,1.6722049506719598
S_1d_21,1,1.476273962922659
S_1d_22,1,1.8325433435017424
S_1d_23,1,1.7573275717714945
S_1d_24,1,1.1643761091322649
S_2d_1,2,1.72301824482532
S_2d_2,2,1.9795346913293372
S_2d_3,2,1.9971855761403876
S_2d_4,2,1.975695319016332
S_2d_5,2,1.8497738520386828
S_2d_6,2,2.572911272436086
S_2d_7,2,1.1174194320724864
S_2d_8,2,1.6982983198295762
S_2d_9,2,1.8958234848928648
S_2d_10,2,1.658820761502562
S_2d_11,2,1.9768967070191688
S_2d_12,2,1.925881423249363
S_2d_13,2,1.0804102643632496
S_2d_14,2,1.7059212999428686
S_2d_15,2,1.2831843472931523
S_2d_16,2,2.037074198645278
S_2d_17,2,1.4203485036279988
S_2d_18,2,2.306437612402177
S_2d_19,2,2.021957522659803
S_2d_20,2,1.7485449673738076
S_2d_21,2,1.729642167638015
S_2d_22,2,1.9266095334187636
S_2d_23,2,2.3786540713604687
S_2d_24,2,1.9606482274889092
