"","tau1","tau2","tau3"
"249",12.7719247890646,86.382323870565,116.299527785231
"250",12.2470960147225,78.0729699664357,116.688066398214
"251",17.1638013291303,80.6686219131041,115.520549491013
"252",12.7092216382372,83.3165726892392,115.884921297095
"253",13.4835272628457,77.4026069567307,126.835877959235
"254",11.6137568773405,76.3551579744841,135.224554300549
"255",12.270749533973,73.6810088844929,124.727635513033
"256",10.7998920438153,79.9241105009508,122.898674052847
"257",13.3891435930591,78.0556035346087,115.879242914548
"258",14.751340611512,81.9722725518195,114.509920790738
"259",14.5766641592824,67.1311343317378,131.128872610452
"260",13.266563816263,76.1884733839258,126.13439972469
"261",13.1208753025465,75.5427000692085,119.480616706101
"262",13.155792670907,76.2164387269739,119.865072686547
"263",13.2920810562219,92.5430794904214,118.762210401308
"264",12.7199758672209,70.7248599479647,119.508403930374
"265",17.1729182418349,81.5235663772809,123.549543409459
"266",12.9647406315208,77.2243780130972,127.241331931702
"267",14.6410650784927,84.2978026907344,122.199277367808
"268",10.0842404999136,91.6863540130626,117.933882840786
"269",11.3815226250495,84.1637608555505,118.64576495565
"270",10.7745576118812,87.7499977551901,117.6205013822
"271",11.2490909716351,83.5758745471845,124.421515765995
"272",11.5099027582552,80.9330369442637,117.646892253694
"273",15.0597011603724,83.3672580597276,122.212969117249
"274",12.9751801354042,71.1246247150207,131.667244145948
"275",12.5706050552361,78.8147036201786,123.280710023969
"276",13.3017345965835,89.0408899723188,115.744866214825
"277",13.1714548160624,75.1487094518947,125.490527761023
"278",15.015463649065,78.4557227554479,122.336486667575
"279",12.2593485711412,84.5156233702778,115.926753871252
"280",10.7957113645358,74.7135815454472,126.463551290408
"281",13.9654567432141,76.7886725850142,117.553776502386
"282",11.4777681005193,80.8664831162057,130.935643183231
"283",12.6747220673268,77.7555638229923,130.719587326051
"284",12.3447806581112,73.976485068447,123.430055542197
"285",16.5715139037901,66.5254060427865,124.080146533794
"286",14.5175211984283,62.3074616810243,128.575558137888
"287",12.6116382425414,72.9324884137053,119.217096084003
"288",12.9222514038806,67.0870201326582,126.788025613103
"289",16.7734909965086,82.6725652803526,119.855963310983
"290",12.8515137444251,73.9132641038406,126.312468723354
"291",9.54024749205314,84.7509879168866,118.086463964273
"292",16.0359175942901,85.3937330953248,119.373399118742
"293",16.3664394952002,71.457337718385,124.773699327251
"294",12.5955640366248,74.0264780802248,127.322047009451
"295",12.9931140175882,70.2439006932563,121.879928409139
"296",14.76863683422,75.4360564024046,122.453952850199
"297",12.3208733968338,66.6586806221498,137.147192542383
"298",11.4192272910942,67.177083702093,138.4000141191
"299",14.7491000534113,74.523980947452,126.0719462649
"300",11.9597276706185,77.7630921289685,122.872669530874
