,Boots value,Legend
b_2.symb,-0.0105785245176564,b_2.symb
b_1.apo,0.189345928337763,b_1.apo
b_2.apo,-0.0261384532123056,b_2.apo
b_1.symb,0.139823419443923,b_1.symb
b_2.symb,-0.0123951760293759,b_2.symb
b_1.apo,0.145901497240335,b_1.apo
b_2.apo,-0.021967009895498,b_2.apo
b_1.symb,0.15448368071139,b_1.symb
b_2.symb,-0.0102675554484566,b_2.symb
b_1.apo,0.182483532577583,b_1.apo
b_2.apo,-0.02503295842291,b_2.apo
b_1.symb,0.134631279158228,b_1.symb
b_2.symb,-0.0111197667945777,b_2.symb
b_1.apo,0.191788726686311,b_1.apo
b_2.apo,-0.0292120429660688,b_2.apo
b_1.symb,0.2267061980153,b_1.symb
b_2.symb,-0.0071187422947768,b_2.symb
b_1.apo,0.162285398113015,b_1.apo
b_2.apo,-0.0270487907363691,b_2.apo
b_1.symb,0.12913888027621,b_1.symb
b_2.symb,-0.0088394045726776,b_2.symb
b_1.apo,0.206977343064138,b_1.apo
b_2.apo,-0.0246873943458712,b_2.apo
b_1.symb,0.19759910057146,b_1.symb
b_2.symb,-0.0074482862359078,b_2.symb
b_1.apo,0.188736923908494,b_1.apo
b_2.apo,-0.0231694226995015,b_2.apo
b_1.symb,0.15091777453172,b_1.symb
b_2.symb,-0.0099891928913149,b_2.symb
b_1.apo,0.214711201934667,b_1.apo
b_2.apo,-0.0228480790721077,b_2.apo
b_1.symb,0.150759795948149,b_1.symb
b_2.symb,-0.0113839949526382,b_2.symb
b_1.apo,0.193099612952146,b_1.apo
b_2.apo,-0.02472813684864,b_2.apo
b_1.symb,0.210230540090806,b_1.symb
b_2.symb,-0.0062107322022207,b_2.symb
b_1.apo,0.188972109603274,b_1.apo
b_2.apo,-0.0254770728846288,b_2.apo
b_1.symb,0.196926914762949,b_1.symb
b_2.symb,-0.0085597634009491,b_2.symb
b_1.apo,0.186112873501122,b_1.apo
b_2.apo,-0.0246927569334559,b_2.apo
b_1.symb,0.22606301849392,b_1.symb
b_2.symb,-0.0052212961579413,b_2.symb
b_1.apo,0.199498762212577,b_1.apo
b_2.apo,-0.0240023330844006,b_2.apo
b_1.symb,0.14660785306428,b_1.symb
b_2.symb,-0.0117975167493398,b_2.symb
b_1.apo,0.178766448315076,b_1.apo
b_2.apo,-0.023625839516111,b_2.apo
b_1.symb,0.201938314051126,b_1.symb
b_2.symb,-0.0055464020012185,b_2.symb
b_1.apo,0.117671459591138,b_1.apo
b_2.apo,-0.0273464223301105,b_2.apo
b_1.symb,0.218323789200949,b_1.symb
b_2.symb,-0.0091470496471548,b_2.symb
b_1.apo,0.198385561185621,b_1.apo
b_2.apo,-0.0249993265192563,b_2.apo
b_1.symb,0.152026365598561,b_1.symb
b_2.symb,-0.0128631999082383,b_2.symb
b_1.apo,0.148394139005966,b_1.apo
b_2.apo,-0.0263499473625287,b_2.apo
b_1.symb,0.147300070755538,b_1.symb
b_2.symb,-0.0138749680718185,b_2.symb
b_1.apo,0.194320150576572,b_1.apo
b_2.apo,-0.023689964542881,b_2.apo
b_1.symb,0.137965622618779,b_1.symb
b_2.symb,-0.0101012786695486,b_2.symb
b_1.apo,0.144729625283412,b_1.apo
b_2.apo,-0.0253200448382875,b_2.apo
b_1.symb,0.131987243181697,b_1.symb
b_2.symb,-0.0127238394629683,b_2.symb
b_1.apo,0.195707737640649,b_1.apo
b_2.apo,-0.02703422621818,b_2.apo
b_1.symb,0.206151301216599,b_1.symb
b_2.symb,-0.0042683608871496,b_2.symb
b_1.apo,0.195059146002519,b_1.apo
b_2.apo,-0.0258604847263502,b_2.apo
b_1.symb,0.144118262759476,b_1.symb
b_2.symb,-0.0125516388827066,b_2.symb
b_1.apo,0.198723975570081,b_1.apo
b_2.apo,-0.024618362574599,b_2.apo
b_1.symb,0.152883624894474,b_1.symb
b_2.symb,-0.0090355334599515,b_2.symb
b_1.apo,0.21517770051356,b_1.apo
b_2.apo,-0.0252599420489497,b_2.apo
b_1.symb,0.1473494985652,b_1.symb
b_2.symb,-0.0118413467947156,b_2.symb
b_1.apo,0.212771259868695,b_1.apo
b_2.apo,-0.0251494394679248,b_2.apo
b_1.symb,0.186863379840112,b_1.symb
b_2.symb,-0.010154213729172,b_2.symb
b_1.apo,0.192699708091052,b_1.apo
b_2.apo,-0.0225657984048777,b_2.apo
b_1.symb,0.149387668087455,b_1.symb
b_2.symb,-0.0138338419436096,b_2.symb
b_1.apo,0.185946848966264,b_1.apo
b_2.apo,-0.0255138481162794,b_2.apo
b_1.symb,0.180719634988719,b_1.symb
b_2.symb,-0.0110493705585817,b_2.symb
b_1.apo,0.185959072176131,b_1.apo
b_2.apo,-0.0266493947564553,b_2.apo
b_1.symb,0.137389210075315,b_1.symb
b_2.symb,-0.0148141448583013,b_2.symb
b_1.apo,0.171110638629117,b_1.apo
b_2.apo,-0.0240026898612976,b_2.apo
b_1.symb,0.219817898085298,b_1.symb
b_2.symb,-0.0062854562524586,b_2.symb
b_1.apo,0.176636187293258,b_1.apo
b_2.apo,-0.0248674959310821,b_2.apo
b_1.symb,0.213572663766071,b_1.symb
b_2.symb,-0.0058031704589447,b_2.symb
b_1.apo,0.203010936902608,b_1.apo
b_2.apo,-0.0234111697007149,b_2.apo
b_1.symb,0.144195225147365,b_1.symb
b_2.symb,-0.0108873723469018,b_2.symb
b_1.apo,0.179193939709796,b_1.apo
b_2.apo,-0.0255893327022581,b_2.apo
b_1.symb,0.209681539567386,b_1.symb
b_2.symb,-0.0069380118021684,b_2.symb
b_1.apo,0.0879698394257143,b_1.apo
b_2.apo,-0.0280388683391624,b_2.apo
b_1.symb,0.141455548970969,b_1.symb
b_2.symb,-0.0131321596024396,b_2.symb
b_1.apo,0.189917683101271,b_1.apo
b_2.apo,-0.0244025160974333,b_2.apo
b_1.symb,0.14120966305712,b_1.symb
b_2.symb,-0.0121174541063585,b_2.symb
b_1.apo,0.170509631219208,b_1.apo
b_2.apo,-0.024651481257495,b_2.apo
b_1.symb,0.146782212470574,b_1.symb
b_2.symb,-0.0139438186345376,b_2.symb
b_1.apo,0.174240727340002,b_1.apo
b_2.apo,-0.0263186198266212,b_2.apo
b_1.symb,0.152841745003821,b_1.symb
b_2.symb,-0.014808464115048,b_2.symb
b_1.apo,0.177072089570575,b_1.apo
b_2.apo,-0.0217106542531995,b_2.apo
b_1.symb,0.134106530594581,b_1.symb
b_2.symb,-0.006459771822903,b_2.symb
b_1.apo,0.150120090669075,b_1.apo
b_2.apo,-0.0265665128110068,b_2.apo
b_1.symb,0.243715872003599,b_1.symb
b_2.symb,-0.0077894581009822,b_2.symb
b_1.apo,0.171680783640739,b_1.apo
b_2.apo,-0.0227757677599262,b_2.apo
b_1.symb,0.14190838891798,b_1.symb
b_2.symb,-0.0131011911842619,b_2.symb
b_1.apo,0.178406015165637,b_1.apo
b_2.apo,-0.0226398812106152,b_2.apo
b_1.symb,0.150022370005273,b_1.symb
b_2.symb,-0.0127283761384309,b_2.symb
b_1.apo,0.186005442583503,b_1.apo
b_2.apo,-0.0266750579191781,b_2.apo
b_1.symb,0.135665866223708,b_1.symb
b_2.symb,-0.0105640523348736,b_2.symb
b_1.apo,0.204933219424158,b_1.apo
b_2.apo,-0.0220777888555573,b_2.apo
