,Day,Body_size_in_mm2 ,log body size
F_10d_12,10,7.689113356,2.039805478560699
F_10d_13,10,9.18130803,2.2171696814102058
F_10d_14,10,7.151821243,1.9673670435711623
F_10d_15,10,6.140699929,1.8149387306132605
F_10d_16,10,5.568207326,1.7170731576118914
F_10d_17,10,6.772370166,1.912851124029232
F_10d_18,10,6.346903377,1.8479670367958199
F_10d_19,10,3.883175186,1.3566531658791363
F_10d_20,10,4.621875319,1.530800535936633
F_10d_21,10,5.420365269,1.6901632059851899
F_10d_22,10,4.380063259,1.477063166978124
F_10d_23,10,5.601775329,1.7230835705356333
F_10d_24,10,4.996939088,1.6088255425739446
