,Day_x,Body_size_in_mm2 ,log body size,Day_y,Cell number,log cell number,Day,median,log cell size
F_6d_7,6,1.9848995,0.6855682831345041,6,124000.0,11.728036844587175,6,64448,11.073613976078233
F_6d_8,6,2.030711152,0.7083860528878239,6,169090.9090909091,12.038191772891013,6,56320,10.938804990831924
F_6d_9,6,1.752576268,0.5610868585231695,6,80701.7543859649,11.298515593624773,6,44864,10.711390970394262
F_6d_10,6,2.048974594,0.7173394699607606,6,215151.51515151514,12.279097780545063,6,65984,11.097167567376632
F_6d_11,6,1.637894092,0.4934113264418734,6,163888.88888888888,12.006943970419838,6,52800,10.874266469694353
F_6d_12,6,1.973166003,0.6796393608554124,6,76612.90322580645,11.246520790965732,6,72000,11.184421397998193
F_6d_13,6,1.6392628609,0.4942466657309372,6,231136.0448807854,12.35076175502535,6,53952,10.895850041361527
F_6d_14,6,1.506682992,0.4099105405155577,6,317310.66460587323,12.66763658748826,6,59456,10.99299182217351
F_6d_15,6,1.171819202,0.1585574147497088,6,124501.75849941383,11.732075119280433,6,43264,10.675076159402636
F_6d_16,6,1.993470054,0.689876865905526,6,255499.3678887484,12.450975214606196,6,47424,10.766883708655758
F_6d_18,6,2.179267422,0.778988775371111,6,266666.6666666666,12.493754717981954,6,60864,11.016397145905062
F_6d_19,6,2.096316702,0.7401818533270429,6,171085.49471661865,12.049918679644922,6,56000,10.933106969717286
F_6d_20,6,2.11080502,0.7470694007917628,6,272075.4716981132,12.513834776268956,6,58496,10.976713654813821
F_6d_21,6,2.121926334,0.752324324226334,6,102240.0,11.535078269611361,6,49024,10.800065253100263
F_6d_22,6,1.735843281,0.5514933362413832,6,151170.56856187293,11.926164071411772,6,56704,10.945600033964753
F_6d_23,6,1.735843281,0.5514933362413832,6,117154.25531914894,11.671246766956568,6,57920,10.966818027059597
F_6d_24,6,1.642791552,0.49639696064730704,6,106461.53846153845,11.575539057698215,6,55616,10.926226208625064
F_8d_1,8,3.588715437,1.2777943214767693,8,170437.95620437956,12.046126616251055,8,56832,10.947854826351842
F_8d_2,8,2.852157943,1.048075880752169,8,561371.4285714286,13.238138048439593,8,54848,10.912321001957451
F_8d_3,8,4.786246301,1.5657464509702073,8,85294.11764705883,11.35386077034054,8,47232,10.762826907960145
F_8d_5,8,5.480563208,1.7012078708613987,8,684931.506849315,13.437074122244029,8,77440,11.257258721950459
F_8d_6,8,5.043362922,1.6180731060019242,8,306289.3081761006,12.632285385832587,8,48896,10.797450872526193
F_8d_8,8,3.20140802,1.1635907192813173,8,469054.7263681592,13.05847472797313,8,61120,11.020594423840402
F_8d_9,8,3.619324559,1.2862874225167606,8,728223.8442822384,13.498363758326693,8,57024,10.951227510830481
F_8d_10,8,3.778798082,1.3294059913441731,8,582236.8421052631,13.274632589131881,8,59904,11.000498559837263
F_8d_11,8,2.171513111,0.775424210736428,8,408120.30075187964,12.91931726470919,8,63936,11.065637862008225
F_8d_12,8,1.883889399,0.6333384690169284,8,287500.0,12.568978139219542,8,67904,11.125850221973655
F_8d_14,8,1.726150393,0.5458937227007618,8,165164.83516483515,12.014699255212307,8,51136,10.842244029125947
F_8d_15,8,3.210998878,1.1665820656834602,8,354666.6666666667,12.778933660215618,8,43968,10.69121737558202
F_8d_16,8,3.41301908,1.2275972602986305,8,269246.23115577886,12.503381597356244,8,59392,10.991914816145872
F_8d_18,8,5.929292929,1.7799049696441027,8,138446.9696969697,11.838242641013746,8,30016,10.30948585180595
F_8d_20,8,3.409550046,1.226580331269436,8,41901.40845070423,10.643074719920552,8,31616,10.361418600547594
F_8d_23,8,5.225589226,1.6535675620190728,8,427272.72727272724,12.965177793881915,8,86208,11.364518259770035
F_8d_24,8,2.694112846,0.9910689650099336,8,322603.550295858,12.684179449869532,8,53440,10.886314808210527
F_10d_2,10,8.854810734,2.1809608970933283,10,1031428.5714285715,13.846455361813696,10,77184,11.253947460646803
F_10d_3,10,8.387511478,2.1267438707618416,10,843181.8181818181,13.644937893659403,10,82688,11.322829767702219
F_10d_4,10,7.472808897,2.011270952160313,10,885906.0402684564,13.694366174605186,10,65536,11.090354888959125
F_10d_5,10,11.97979798,2.4832217294399443,10,2318666.6666666665,14.656502865788202,10,81600,11.309584540952198
F_10d_6,10,6.579124579,1.8839016937810928,10,825925.925925926,13.624260370426018,10,67712,11.123018695777917
F_10d_7,10,3.206203449,1.165087511001134,10,751945.5252918288,13.530419160536585,10,55872,10.930818639199273
F_10d_8,10,10.764309764,2.376236010228365,10,443902.4390243903,13.003360085342717,10,72000,11.184421397998193
F_10d_9,10,4.339353127,1.4677252879250546,10,875000.0,13.681979165339751,10,55360,10.92161259029155
F_10d_10,10,7.706152433,2.042019027088001,10,800000.0,13.592367006650065,10,72960,11.197666624748212
F_10d_11,10,5.007856341,1.611007947483793,10,737500.0,13.511021367196111,10,68160,11.129613161503197
F_10d_12,10,7.689113356,2.039805478560699,10,1095555.5555555555,13.906772149242599,10,65216,11.085460116582396
F_10d_13,10,9.18130803,2.2171696814102058,10,907442.748091603,13.718385755628677,10,65600,11.09133097493218
F_10d_14,10,7.151821243,1.9673670435711623,10,712996.3898916967,13.477231636118113,10,55104,10.916977587787402
F_10d_15,10,6.140699929,1.8149387306132605,10,1467961.1650485438,14.199385033480072,10,60288,11.006888357936035
F_10d_16,10,5.568207326,1.7170731576118914,10,667887.9310344828,13.411875670531721,10,69440,11.148218349334233
F_10d_17,10,6.772370166,1.912851124029232,10,2890789.473684211,14.877040197068508,10,72768,11.195031577110209
F_10d_18,10,6.346903377,1.8479670367958199,10,1852499.9999999998,14.432046636152378,10,72000,11.184421397998193
F_10d_19,10,3.883175186,1.3566531658791363,10,666666.6666666667,13.41004544985611,10,65088,11.083495479408231
F_10d_20,10,4.621875319,1.530800535936633,10,782258.064516129,13.56993997086262,10,81344,11.306442354549127
F_10d_23,10,5.601775329,1.7230835705356333,10,344680.8510638298,12.750374198492555,10,68288,11.131489334661426
F_10d_24,10,4.996939088,1.6088255425739446,10,387622.14983713353,12.867786303488606,10,80640,11.297750083305196
