experiment;day;individual;mm2;condition;feedingreg;reltime
200d_starved;15;1;2,783399763;1;starving;15
200d_starved;15;2;2,03210221;1;starving;15
200d_starved;15;3;0,969922913;1;starving;15
200d_starved;15;4;1,486066324;1;starving;15
200d_starved;15;5;1,750761264;1;starving;15
200d_starved;15;6;1,4047119;1;starving;15
200d_starved;15;7;1,553705376;1;starving;15
200d_starved;15;8;2,199968975;1;starving;15
200d_starved;15;9;1,113758471;1;starving;15
200d_starved;15;10;1,187727695;1;starving;15
200d_starved;15;11;1,565193465;1;starving;15
200d_starved;15;12;1,613842004;1;starving;15
200d_starved;15;13;1,26931657;1;starving;15
200d_starved;15;14;1,131342281;1;starving;15
200d_starved;15;15;1,494741003;1;starving;15
200d_starved;15;16;1,798237549;1;starving;15
200d_starved;15;17;0,652828221;1;starving;15
200d_starved;15;18;1,321833546;1;starving;15
200d_starved;15;19;0,971446843;1;starving;15
200d_starved;15;20;1,083983221;1;starving;15
200d_starved;15;21;1,608801312;1;starving;15
200d_starved;15;22;0,915999231;1;starving;15
200d_starved;15;23;0,891264673;1;starving;15
200d_starved;15;24;1,768696749;1;starving;15
200d_starved;15;25;1,184679835;1;starving;15
200d_starved;15;26;1,099456973;1;starving;15
200d_starved;15;27;1,599306055;1;starving;15
200d_starved;15;28;1,385018034;1;starving;15
200d_starved;15;29;1,390410402;1;starving;15
200d_starved;15;31;2,035384521;1;starving;15
200d_starved;15;32;1,176942959;1;starving;15
200d_starved;15;33;1,327694816;1;starving;15
200d_starved;15;34;1,22477092;1;starving;15
200d_starved;15;35;1,960360269;1;starving;15
200d_starved;15;36;1,938321895;1;starving;15
200d_starved;15;37;1,339769032;1;starving;15
200d_starved;15;38;1,113406795;1;starving;15
200d_starved;15;39;2,242052892;1;starving;15
200d_starved;15;40;1,785694432;1;starving;15
200d_starved;15;41;1,448905874;1;starving;15
200d_starved;15;42;0,78189338;1;starving;15
200d_starved;15;43;1,96797992;1;starving;15
200d_starved;15;44;0,628328114;1;starving;15
200d_starved;15;45;0,597263384;1;starving;15
200d_starved;15;46;1,778895359;1;starving;15
200d_starved;15;47;0,944602227;1;starving;15
200d_starved;15;48;1,218089072;1;starving;15
200d_starved;15;49;1,322888575;1;starving;15
200d_starved;15;50;1,167213251;1;starving;15
200d_starved;15;51;0,7284386;1;starving;15
200d_starved;15;52;1,978647431;1;starving;15
200d_starved;15;53;1,494975454;1;starving;15
200d_starved;15;54;1,068157793;1;starving;15
200d_starved;15;55;1,933984555;1;starving;15
200d_starved;15;56;1,116220205;1;starving;15
200d_starved;15;57;0,733479292;1;starving;15
200d_starved;15;58;0,839802725;1;starving;15
200d_starved;15;59;0,815185392;1;starving;15
200d_starved;15;60;1,045298841;1;starving;15
200d_starved;20;1;0,848242953;1;starving;20
200d_starved;20;2;1,200622489;1;starving;20
200d_starved;20;3;1,77784033;1;starving;20
200d_starved;20;4;1,039085895;1;starving;20
200d_starved;20;5;1,321364645;1;starving;20
200d_starved;20;6;2,557506428;1;starving;20
200d_starved;20;7;0,76407512;1;starving;20
200d_starved;20;8;0,831245271;1;starving;20
200d_starved;20;9;1,824378812;1;starving;20
200d_starved;20;10;1,532604805;1;starving;20
200d_starved;20;11;1,128528871;1;starving;20
200d_starved;20;12;0,692215953;1;starving;20
200d_starved;20;13;2,262332885;1;starving;20
200d_starved;20;14;1,153028978;1;starving;20
200d_starved;20;15;0,806276262;1;starving;20
200d_starved;20;16;0,926666742;1;starving;20
200d_starved;20;17;2,265380745;1;starving;20
200d_starved;20;18;2,732758392;1;starving;20
200d_starved;20;19;1,018571451;1;starving;20
200d_starved;20;20;1,168971632;1;starving;20
200d_starved;20;21;1,413855481;1;starving;20
200d_starved;20;22;1,535183764;1;starving;20
200d_starved;20;23;1,379977342;1;starving;20
200d_starved;20;24;0,696084391;1;starving;20
200d_starved;20;25;0,960896557;1;starving;20
200d_starved;20;26;1,324060829;1;starving;20
200d_starved;20;27;0,481679145;1;starving;20
200d_starved;20;28;0,984458861;1;starving;20
200d_starved;20;29;0,906152298;1;starving;20
200d_starved;20;30;2,092590514;1;starving;20
200d_starved;20;31;0,949760145;1;starving;20
200d_starved;20;32;1,077770275;1;starving;20
200d_starved;20;33;1,919917508;1;starving;20
200d_starved;20;34;0,867585143;1;starving;20
200d_starved;20;35;0,691629826;1;starving;20
200d_starved;20;36;0,432327254;1;starving;20
200d_starved;20;37;1,302608582;1;starving;20
200d_starved;20;38;0,606641416;1;starving;20
200d_starved;20;39;0,895484787;1;starving;20
200d_starved;20;40;1,360986828;1;starving;20
200d_starved;20;41;1,501774527;1;starving;20
200d_starved;20;42;0,249924541;1;starving;20
200d_starved;20;43;0,257778642;1;starving;20
200d_starved;20;44;1,03158347;1;starving;20
200d_starved;20;45;1,258531833;1;starving;20
200d_starved;20;46;1,249271027;1;starving;20
200d_starved;20;47;1,15654574;1;starving;20
200d_starved;20;48;0,888451263;1;starving;20
200d_starved;20;49;1,238720742;1;starving;20
200d_starved;20;50;1,172136718;1;starving;20
200d_starved;20;51;1,393692713;1;starving;20
200d_starved;20;52;1,119619741;1;starving;20
200d_starved;20;53;0,464329787;1;starving;20
200d_starved;20;54;0,373597332;1;starving;20
200d_starved;20;55;0,772280898;1;starving;20
200d_starved;20;56;1,015171915;1;starving;20
200d_starved;20;57;0,871101905;1;starving;20
200d_starved;20;58;1,135210719;1;starving;20
200d_starved;20;59;2,851507717;1;starving;20
200d_starved;20;60;0,998643134;1;starving;20
200d_starved;20;61;0,81448204;1;starving;20
200d_starved;20;62;1,237196812;1;starving;20
200d_starved;20;63;0,543105252;1;starving;20
200d_starved;20;64;1,596023744;1;starving;20
200d_starved;20;65;1,070033399;1;starving;20
200d_starved;20;66;0,976018633;1;starving;20
200d_starved;20;67;2,926063067;1;starving;20
200d_starved;20;68;1,180811397;1;starving;20
200d_starved;20;69;1,131811182;1;starving;20
200d_starved;20;70;0,470777184;1;starving;20
200d_starved;20;71;0,910020736;1;starving;20
200d_starved;20;72;0,866530115;1;starving;20
200d_starved;20;73;0,881886641;1;starving;20
200d_starved;20;74;1,216213466;1;starving;20
200d_starved;20;75;1,147871061;1;starving;20
200d_starved;20;77;0,921157149;1;starving;20
200d_starved;20;78;0,936865351;1;starving;20
200d_starved;20;79;1,156662966;1;starving;20
200d_starved;20;80;2,286364091;1;starving;20
200d_starved;20;81;1,284555871;1;starving;20
200d_starved;20;82;0,583313562;1;starving;20
200d_starved;20;83;1,371068212;1;starving;20
200d_starved;20;84;0,802525049;1;starving;20
200d_starved;20;85;0,974846379;1;starving;20
200d_starved;20;86;0,468080999;1;starving;20
200d_starved;20;87;0,566198655;1;starving;20
200d_starved;20;88;0,908731257;1;starving;20
200d_starved;20;89;1,439410617;1;starving;20
200d_starved;20;90;1,44644414;1;starving;20
200d_starved;20;91;1,22324699;1;starving;20
200d_starved;20;92;1,040844276;1;starving;20
200d_starved;20;93;0,76688853;1;starving;20
200d_starved;20;94;0,71038589;1;starving;20
200d_starved;20;95;1,106138821;1;starving;20
200d_starved;20;96;0,814950941;1;starving;20
200d_starved;20;97;0,681782893;1;starving;20
200d_starved;20;98;1,518772209;1;starving;20
200d_starved;20;99;1,927068257;1;starving;20
200d_starved;20;100;0,910020736;1;starving;20
200d_starved;20;101;1,376695031;1;starving;20
200d_starved;20;102;0,807565741;1;starving;20
200d_starved;20;103;1,15631129;1;starving;20
200d_starved;20;104;0,716364385;1;starving;20
200d_starved;20;105;1,456994426;1;starving;20
200d_starved;20;106;0,87555647;1;starving;20
200d_starved;20;107;0,822453366;1;starving;20
200d_starved;20;108;1,33496279;1;starving;20
200d_starved;20;109;0,877314851;1;starving;20
200d_starved;25;1;1,362159082;1;starving;25
200d_starved;25;2;0,8249151;1;starving;25
200d_starved;25;3;0,902166635;1;starving;25
200d_starved;25;4;0,649897586;1;starving;25
200d_starved;25;5;0,695967166;1;starving;25
200d_starved;25;6;1,124777658;1;starving;25
200d_starved;25;7;1,405415252;1;starving;25
200d_starved;25;8;1,038030867;1;starving;25
200d_starved;25;9;0,876611499;1;starving;25
200d_starved;25;10;1,317613432;1;starving;25
200d_starved;25;11;0,502896942;1;starving;25
200d_starved;25;12;0,984107185;1;starving;25
200d_starved;25;13;0,859379366;1;starving;25
200d_starved;25;14;1,52357845;1;starving;25
200d_starved;25;15;0,951870202;1;starving;25
200d_starved;25;16;0,989265103;1;starving;25
200d_starved;25;17;0,552952185;1;starving;25
200d_starved;25;18;0,916585358;1;starving;25
200d_starved;25;19;0,363164272;1;starving;25
200d_starved;25;20;1,348912612;1;starving;25
200d_starved;25;21;1,308938753;1;starving;25
200d_starved;25;22;1,473757657;1;starving;25
200d_starved;25;23;1,1148135;1;starving;25
200d_starved;25;24;1,504939612;1;starving;25
200d_starved;25;25;1,76131155;1;starving;25
200d_starved;25;26;1,767876172;1;starving;25
200d_starved;25;27;0,817295449;1;starving;25
200d_starved;25;28;0,702062887;1;starving;25
200d_starved;25;29;1,040375375;1;starving;25
200d_starved;25;30;1,422999062;1;starving;25
200d_starved;25;31;0,633837707;1;starving;25
200d_starved;25;32;1,031466245;1;starving;25
200d_starved;25;33;2,48541281;1;starving;25
200d_starved;25;34;1,704457233;1;starving;25
200d_starved;25;35;0,788809678;1;starving;25
200d_starved;25;36;0,715309356;1;starving;25
200d_starved;25;37;1,316558404;1;starving;25
200d_starved;25;38;0,529272655;1;starving;25
200d_starved;25;39;0,966288925;1;starving;25
200d_starved;25;40;1,392637684;1;starving;25
200d_starved;25;41;0,822687817;1;starving;25
200d_starved;25;42;0,755048765;1;starving;25
200d_starved;25;43;1,272012754;1;starving;25
200d_starved;25;44;1,38079792;1;starving;25
200d_starved;25;45;1,539169427;1;starving;25
200d_starved;25;46;0,955973091;1;starving;25
200d_starved;25;47;0,997822556;1;starving;25
200d_starved;25;48;1,095119634;1;starving;25
200d_starved;25;49;1,246223167;1;starving;25
200d_starved;25;50;1,243058081;1;starving;25
200d_starved;25;51;1,005676658;1;starving;25
200d_starved;25;52;0,840974979;1;starving;25
200d_starved;25;53;0,838864922;1;starving;25
200d_starved;25;54;0,565729753;1;starving;25
200d_starved;25;55;0,761965063;1;starving;25
200d_starved;25;56;0,93944431;1;starving;25
200d_starved;25;57;0,401028074;1;starving;25
200d_starved;25;58;1,150684471;1;starving;25
200d_starved;25;59;0,910606863;1;starving;25
200d_starved;25;60;0,725859642;1;starving;25
200d_starved;25;61;0,678031681;1;starving;25
200d_starved;25;62;0,534665023;1;starving;25
200d_starved;25;63;1,365441393;1;starving;25
200d_starved;25;64;0,996650302;1;starving;25
200d_starved;25;65;1,034983006;1;starving;25
200d_starved;25;66;0,270204534;1;starving;25
200d_starved;25;67;0,777790491;1;starving;25
200d_starved;25;68;1,007083363;1;starving;25
200d_starved;25;69;1,249622703;1;starving;25
200d_starved;25;70;0,807800192;1;starving;25
200d_starved;25;71;1,103794313;1;starving;25
200d_starved;25;72;1,580198315;1;starving;25
200d_starved;25;73;0,55588282;1;starving;25
200d_starved;25;74;1,008607293;1;starving;25
200d_starved;25;75;1,11176564;1;starving;25
200d_starved;25;76;1,389589824;1;starving;25
200d_starved;25;77;1,101918707;1;starving;25
200d_starved;25;78;0,806979614;1;starving;25
200d_starved;25;79;1,819689796;1;starving;25
200d_starved;25;80;0,901228831;1;starving;25
200d_starved;25;81;2,289763627;1;starving;25
200d_starved;25;82;0,813544237;1;starving;25
200d_starved;25;83;1,024432721;1;starving;25
200d_starved;25;84;0,465853717;1;starving;25
200d_starved;25;85;0,870281327;1;starving;25
200d_starved;25;86;1,110593386;1;starving;25
200d_starved;25;87;0,570067093;1;starving;25
200d_starved;25;88;0,719060569;1;starving;25
200d_starved;25;89;0,967343954;1;starving;25
200d_starved;25;90;0,677680005;1;starving;25
200d_starved;25;91;0,575576686;1;starving;25
200d_starved;25;92;0,983052157;1;starving;25
200d_starved;25;93;1,490051987;1;starving;25
200d_starved;25;94;1,451015931;1;starving;25
200d_starved;25;95;1,13872748;1;starving;25
200d_starved;25;96;0,897829295;1;starving;25
200d_starved;25;97;0,535837277;1;starving;25
200d_starved;25;98;0,627859212;1;starving;25
200d_starved;25;99;0,341594799;1;starving;25
200d_starved;25;100;0,568308712;1;starving;25
200d_starved;25;101;0,275128;1;starving;25
200d_starved;25;102;0,448621584;1;starving;25
200d_starved;25;103;1,134741817;1;starving;25
200d_starved;25;104;0,752352581;1;starving;25
200d_starved;25;105;1,279046277;1;starving;25
200d_starved;25;106;0,371135598;1;starving;25
200d_starved;25;107;1,051863463;1;starving;25
200d_starved;25;108;0,92467391;1;starving;25
200d_starved;25;109;1,204373701;1;starving;25
200d_starved;25;110;0,635127186;1;starving;25
200d_starved;25;111;1,04940173;1;starving;25
200d_starved;25;112;1,000401515;1;starving;25
200d_starved;25;113;0,892905828;1;starving;25
200d_starved;25;114;0,532554966;1;starving;25
200d_starved;25;115;0,93944431;1;starving;25
200d_starved;25;116;1,221605834;1;starving;25
200d_starved;25;117;0,991726836;1;starving;25
200d_starved;25;118;0,398918017;1;starving;25
200d_starved;25;119;0,943195523;1;starving;25
200d_starved;25;120;1,504939612;1;starving;25
200d_starved;25;121;0,894429759;1;starving;25
200d_starved;25;122;1,073784612;1;starving;25
200d_starved;25;123;0,822922268;1;starving;25
200d_starved;25;124;0,968164532;1;starving;25
200d_starved;25;125;1,121143671;1;starving;25
200d_starved;25;126;0,785879043;1;starving;25
200d_starved;25;127;1,237782939;1;starving;25
200d_starved;25;128;1,061710396;1;starving;25
200d_starved;25;129;1,190189428;1;starving;25
200d_starved;25;130;0,599256216;1;starving;25
200d_starved;25;131;1,089258364;1;starving;25
200d_starved;25;132;0,510047691;1;starving;25
200d_starved;25;133;1,060186466;1;starving;25
200d_starved;30;1;0,964999446;1;starving;30
200d_starved;30;2;2,132447148;1;starving;30
200d_starved;30;3;1,780419289;1;starving;30
200d_starved;30;4;0,797249907;1;starving;30
200d_starved;30;5;0,718591667;1;starving;30
200d_starved;30;6;1,119736966;1;starving;30
200d_starved;30;7;1,182452552;1;starving;30
200d_starved;30;8;0,759268879;1;starving;30
200d_starved;30;9;1,254780621;1;starving;30
200d_starved;30;10;1,243995884;1;starving;30
200d_starved;30;11;1,130521703;1;starving;30
200d_starved;30;12;0,859379366;1;starving;30
200d_starved;30;13;1,0257222;1;starving;30
200d_starved;30;14;0,880479937;1;starving;30
200d_starved;30;15;1,23215612;1;starving;30
200d_starved;30;16;0,497270123;1;starving;30
200d_starved;30;17;0,740864492;1;starving;30
200d_starved;30;18;1,045533292;1;starving;30
200d_starved;30;19;0,956793668;1;starving;30
200d_starved;30;20;1,249271027;1;starving;30
200d_starved;30;21;1,08656218;1;starving;30
200d_starved;30;22;0,524466414;1;starving;30
200d_starved;30;23;1,132162858;1;starving;30
200d_starved;30;24;0,559047905;1;starving;30
200d_starved;30;25;0,684361852;1;starving;30
200d_starved;30;26;1,425812471;1;starving;30
200d_starved;30;27;1,389589824;1;starving;30
200d_starved;30;28;1,371537113;1;starving;30
200d_starved;30;29;1,020447057;1;starving;30
200d_starved;30;30;0,861137747;1;starving;30
200d_starved;30;31;1,111882865;1;starving;30
200d_starved;30;32;1,144940426;1;starving;30
200d_starved;30;33;0,719881146;1;starving;30
200d_starved;30;34;0,795960427;1;starving;30
200d_starved;30;35;0,901697733;1;starving;30
200d_starved;30;36;0,92443946;1;starving;30
200d_starved;30;37;1,036272486;1;starving;30
200d_starved;30;38;0,960779332;1;starving;30
200d_starved;30;39;1,093478478;1;starving;30
200d_starved;30;40;0,823156719;1;starving;30
200d_starved;30;41;1,003566601;1;starving;30
200d_starved;30;42;0,518253468;1;starving;30
200d_starved;30;43;0,97050904;1;starving;30
200d_starved;30;44;0,667481395;1;starving;30
200d_starved;30;45;0,772163672;1;starving;30
200d_starved;30;46;1,262165821;1;starving;30
200d_starved;30;47;0,779197196;1;starving;30
200d_starved;30;48;0,976487535;1;starving;30
200d_starved;30;49;0,798656611;1;starving;30
200d_starved;30;50;2,052499429;1;starving;30
200d_starved;30;51;0,851759715;1;starving;30
200d_starved;30;52;0,700304506;1;starving;30
200d_starved;30;53;0,921391599;1;starving;30
200d_starved;30;54;0,713082074;1;starving;30
200d_starved;30;55;0,827376833;1;starving;30
200d_starved;30;56;0,352848437;1;starving;30
200d_starved;30;57;0,534430573;1;starving;30
200d_starved;30;58;1,329570422;1;starving;30
200d_starved;30;59;0,729493629;1;starving;30
200d_starved;30;60;0,70909641;1;starving;30
200d_starved;30;61;1,984039799;1;starving;30
200d_starved;30;62;0,74754634;1;starving;30
200d_starved;30;63;1,506463542;1;starving;30
200d_starved;30;64;0,71495768;1;starving;30
200d_starved;30;65;0,332568444;1;starving;30
200d_starved;30;66;1,30061575;1;starving;30
200d_starved;30;67;1,358993996;1;starving;30
