"","b_1.RES","b_2.RES","b_3.RES","b_4.RES"
"70",0.151402424674335,-0.0413279371830931,0.0787433295231806,-0.0214286978894681
"71",0.0977152053883078,-0.0409917170748789,0.0314904951229436,-0.0245390761732666
"72",0.182345653383419,-0.0357237815214027,0.0271095884466119,-0.0314346930130895
"73",0.0657319686197149,-0.0498085920024645,0.0447131457225062,-0.0156791987975012
"74",0.198937256073229,-0.0382352069452709,0.0153638415057578,-0.0242223977775022
"75",0.207680726263217,-0.0322959412562234,0.0360501109115907,-0.0220290750264706
"76",0.177476782515855,-0.0349498040847828,0.0390661713471678,-0.0249421899074468
"77",0.150109455783536,-0.0431660835986163,0.0367303037205275,-0.0224958745322753
"78",0.153162455794281,-0.0354953635762044,0.0689503872371458,-0.0212482279188785
"79",0.233922639025589,-0.0409742932569668,0.0416453677198286,-0.0257711896927472
